,q,GRB,Pre-peak slope,APP_neg,APP_pos,Intermediate slope,APR_neg,APR_pos,Post-break slope,APB_neg,APB_pos,Peak time,P_pos,P_neg,Break time,B_pos,B_neg
0,1.2,050709,0.1992981582569594,0.005498137713152884,0.006342971013918369,-1.3886703634415865,0.01468993688527398,0.009823861933296207,0.0,0.0,0.0,12.48397408104812,1.2629093794104325,0.8508206423153748,42580451.38320434,24483483.111650728,23449498.05841074
1,1.4,050709,0.2030873324049769,0.005589073278594425,0.006792709502337235,-1.3767059430918864,0.013194609895951892,0.011619107515897786,0.0,0.0,0.0,11.707170137777975,0.7768039432701439,1.0755234097882092,52534894.24908607,30207223.134962022,28931513.421642143
2,1.6,050709,0.20782342177321242,0.00554682046975899,0.006721307491507067,-1.3591032895013753,0.01510643680919066,0.009299999934339054,0.0,0.0,0.0,10.295562351082355,1.4116077866956207,0.6406320119364519,63829233.74349012,36701395.02102066,35151423.81342177
3,1.8,050709,0.2135463114648259,0.00562000931429274,0.0071393107023138835,-1.341711764259424,0.014937132466079195,0.012656139134704425,0.0,0.0,0.0,9.349721623117597,0.9458407279647574,0.5817779321043037,76530334.87423854,44004445.71523444,42146052.48996611
4,2.0,050709,0.2170813826635353,0.00550690244597532,0.007119680369223114,-1.3090618737497035,0.014638693573924444,0.011225773030462571,0.0,0.0,0.0,8.767943691013294,0.8869866481326092,0.5455773289284238,90703508.14241436,52153928.33172819,49951366.62444012
5,1.2,050724,0.15366071921227392,0.013213200078532439,0.0041085215292695765,-0.7296815902735136,0.060289661825676966,0.050987978855615124,0.0,0.0,0.0,0.00021149207570040596,0.0008768559008865799,0.00016623652878680628,624754.9579051625,93073.95506063895,77207.3089688808
6,1.4,050724,0.15427897302093027,0.010162528350534522,0.004063571127573634,-0.7336291253161773,0.06264003660068529,0.051792019329874095,0.0,0.0,0.0,0.0002734625210796188,0.0011337882258040757,0.0002149463997977936,770809.9510210028,114832.75135931373,95256.80635542935
7,1.6,050724,0.15501926877435807,0.009249438809406735,0.0036406000027154606,-0.7401135940231757,0.0654240474479244,0.053060213861403915,0.0,0.0,0.0,0.00036513376150740327,0.0015138614169366029,0.00028700162336977713,936524.3661146931,139520.3441957865,115735.8179820613
8,1.8,050724,0.15554719392784194,0.007027287984221642,0.00327662219620789,-0.7495200791274561,0.07097864959513134,0.05548809830076473,0.0,0.0,0.0,0.0005034503338866862,0.0020873283058473096,0.0003957209065385362,1122879.2694687683,167282.88962362125,138765.58416329767
9,2.0,050724,0.1576982610995799,0.005171957334587141,0.0025374467648023313,-0.7278797853863878,0.07189082883130016,0.056060919631192974,0.0,0.0,0.0,0.0006303908236325921,0.002719525980742145,0.0004954983866543838,1330832.9191107838,198263.14579697815,164464.52656617574
10,1.2,051227,0.3686199451354414,0.04217903528750072,0.04994723245881805,-0.8719366193943523,0.02132591672774653,0.025102345216986177,-1.5605963936199592,0.1023085300853912,0.044690899186015764,0.10756826299701647,0.1568534738286023,0.06848224112628037,109505.8009290868,20882.316345524683,18584.90490087001
11,1.4,051227,0.3774014228169895,0.04398554814963934,0.050281583549738273,-0.8531922974356554,0.022936922832293205,0.023822305104756136,-1.6876501374594728,0.018820534255171717,0.018820534255171495,0.09928051187163231,0.14492524692555175,0.06490733966262995,135106.028343801,25764.17687579576,22929.677396084357
12,1.6,051227,0.3875178816326895,0.04495153841102073,0.04977227455158828,-0.8344867661985913,0.021523830758123697,0.023673274219856544,-1.6104132197507741,0.0,0.0,0.09015973260584438,0.12790948644215644,0.05738667358636322,164152.11996855022,31303.14986866858,27859.26876026686
13,1.8,051227,0.39761664443589584,0.04609259531365045,0.05043884622593531,-0.8160409423461018,0.02264887076130151,0.023547153013496414,-1.5037050967068737,0.0,0.0,0.08056195150478611,0.11446860127995707,0.0517405481596723,196816.03514143045,37532.027279146365,33402.863273320836
14,2.0,051227,0.40547823624647117,0.046872086173375405,0.048970014555029806,-0.7625655406887236,0.02668702109022314,0.021415254263941974,0.0,0.0,0.0,0.07554905727734136,0.10429313295668678,0.04896532832542089,233265.7354151695,44482.83870062232,39588.966726336395
15,1.2,061006,0.4797362475815249,0.009278594478972113,0.004156829285057839,-0.8102284892319994,0.022775814208991885,0.02563732815062303,0.0,0.0,0.0,0.04237607160116045,0.12627560176434766,0.03138092062618102,98505022.7884941,277014477.10973525,71099464.36748432
16,1.4,061006,0.4796956841219299,0.007406951622491387,0.004142115200024388,-0.8081311283618675,0.023008933776817786,0.025468811277354342,0.0,0.0,0.0,0.0397392590520178,0.11341859124012146,0.029428271355395438,121533492.17990164,341774823.6028834,87721072.00314417
17,1.6,061006,0.4799051405351034,0.006654083076817696,0.0037944502396889956,-0.8060958978072169,0.022808489227604478,0.025232144253476085,0.0,0.0,0.0,0.03494764443848064,0.10413978136649057,0.02558391457746196,147661659.7576672,415252098.9183881,106579995.81327085
18,1.8,061006,0.4801156734166523,0.00587667506251216,0.003555427404287659,-0.8035675445299149,0.02299005661901754,0.02606419323648823,0.0,0.0,0.0,0.031737047063693125,0.09457258695214976,0.023502361525834594,177044210.09899217,497881304.9074996,127787884.83132064
19,2.0,061006,0.4804118920063945,0.005668434352917973,0.0038954957078462527,-0.7982122353565289,0.022244682162993246,0.026139585841611246,0.0,0.0,0.0,0.029762238148937914,0.0886878936651608,0.022039948435988135,209832231.60685316,590087330.3095238,151453792.4255349
