ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
12317,191.86629127839916,-2.1568809851102073,0.640331766174319,0.060769189099262676,33.19414138793945,no,no,no,no,no,no,no,no
635,246.91221778940647,-24.672350038225943,7.551974146940368,0.15832031317536296,85.25835418701172,no,yes,no,no,no,no,yes,no
635,246.86674810941201,-24.65933077846842,5.587595551524657,0.017584904076087638,1074.9595947265625,no,no,no,no,no,no,no,no
635,246.86033020859165,-24.656433189624366,5.294634774971216,0.08134270131302454,76.81267547607422,no,yes,no,no,no,no,yes,no
635,246.81440886642326,-24.444509008669254,7.789956307755419,0.12238526567296847,134.460693359375,no,no,no,no,no,no,no,no
635,246.5935411772677,-24.381389778187213,17.16034451805078,0.24452987500549184,139.50697326660156,no,yes,no,no,no,no,no,no
635,246.7389225643041,-24.594092229970094,4.898983437986688,0.23150542686222664,9.515366554260254,no,yes,no,no,no,no,yes,no
635,246.86221155825044,-24.680795776560288,6.711100806398803,0.05270374166956951,311.5278015136719,no,yes,no,no,no,no,no,no
635,246.79882236306955,-24.64227557228557,4.359843716394651,0.08843831499898593,60.571510314941406,no,yes,no,no,no,no,yes,no
635,246.86277346377747,-24.53831363737394,2.933757543031453,0.03032684875721539,315.59600830078125,no,no,no,no,no,no,no,no
635,246.81619614923636,-24.645444505474554,4.324302793334405,0.051184073578586044,272.15899658203125,no,no,no,no,no,no,no,no
635,246.79641714614945,-24.67957530991538,6.540585850118776,0.2811102719261497,27.00926399230957,no,yes,no,no,no,no,yes,no
637,246.66861815713546,-24.45401915402044,4.144764902310921,0.10542355726308542,52.327518463134766,no,no,no,no,no,no,yes,no
637,246.60018452904663,-24.413389468964983,3.001503653572425,0.01929227061330983,484.9203186035156,yes,yes,no,no,no,no,no,no
637,246.61434496666567,-24.40499334499369,2.079244965675024,0.10797012148359901,10.457764625549316,no,no,no,no,no,no,no,no
637,246.76900700639217,-24.45428679984923,7.755212574239395,0.06981823700641188,328.71099853515625,no,no,no,no,no,no,yes,no
637,246.77485356448054,-24.438478406537044,7.603971749865671,0.3009502641313278,31.981027603149414,no,yes,yes,no,no,no,yes,no
637,246.76242179264815,-24.437513116478012,6.96189387028048,0.5231208137729013,9.024821281433105,no,yes,yes,no,no,no,yes,no
17249,246.6785314654053,-24.34186812214503,3.805527516470809,0.023802983137335827,552.2943115234375,yes,no,no,no,no,no,no,no
