Seq Num,Obs ID,Instrument,Grating,Appr Exp,Exposure,Target Name,PI Name,RA,Dec,Status,Data Mode,Exp Mode,Avg Cnt Rate,Evt Cnt,Start Date,Public Release Date,Proposal,Science Category,Type,Obs Cycle,Prop Cycle,Joint,Grid Name
201460,25115,ACIS-S,NONE,10.00,9.33,HR2142,Naze,91.056,-6.709,archived,FAINT,TE,0.7095588983554592,6619,2022-05-11 18:31:25,2023-05-12 05:57:51,23200019,STARS AND WD,GO,23,23,None,
201461,25116,ACIS-S,NONE,10.00,9.13,HR2142,Naze,91.056,-6.709,archived,FAINT,TE,0.6793789535802097,6204,2021-12-20 00:27:22,2022-12-20 16:42:28,23200019,STARS AND WD,GO,23,23,None,
201464,25119,ACIS-S,NONE,23.00,23.76,LAMOST J025414.25+262154.0,Green,43.559,26.365,archived,VFAINT,TE,6.096143083664337,144826,2021-11-15 23:01:45,2022-11-22 09:30:05,23200076,STARS AND WD,GO,23,23,None,
201464,26209,ACIS-S,NONE,10.00,9.83,LAMOST J025414.25+262154.0,Green,43.559,26.365,archived,VFAINT,TE,7.5541829765847615,74275,2021-11-21 21:53:14,2022-11-22 09:30:05,23200076,STARS AND WD,GO,23,23,None,
201465,25120,ACIS-S,NONE,16.00,15.75,LAMOST J220809.97+251729.9,Green,332.042,25.292,archived,VFAINT,TE,7.5514344777653575,118959,2022-04-12 04:14:48,2023-04-15 09:13:49,23200076,STARS AND WD,GO,23,23,None,
201465,26390,ACIS-S,NONE,17.00,16.74,LAMOST J220809.97+251729.9,Green,332.042,25.292,archived,VFAINT,TE,8.017853489960233,134254,2022-04-14 19:52:51,2023-04-15 09:13:49,23200076,STARS AND WD,GO,23,23,None,
201469,25124,ACIS-S,NONE,30.00,27.23,TAP 26,Skinner,64.715,17.388,archived,FAINT,TE,0.680962380537651,18541,2021-12-06 23:51:08,2022-12-12 17:51:10,23200170,STARS AND WD,GO,23,23,None,
201469,25693,ACIS-S,NONE,20.00,17.99,TAP 26,Skinner,64.715,17.388,archived,FAINT,TE,0.947535655815641,17045,2021-12-01 07:36:46,2022-12-12 17:51:10,23200170,STARS AND WD,GO,23,23,None,
201469,26225,ACIS-S,NONE,10.00,9.46,TAP 26,Skinner,64.715,17.388,archived,FAINT,TE,0.9257055276682927,8754,2021-12-11 13:39:10,2022-12-12 17:51:10,23200170,STARS AND WD,GO,23,23,None,
201535,26419,ACIS-S,NONE,10.00,9.95,UCAC4 344-000237,Guenther,2.850,-21.242,archived,VFAINT,TE,4.199387809183741,41771,2022-05-20 05:27:09,2022-05-22 19:46:04,20201077,STARS AND WD,CCT,23,20,None,
201536,26423,ACIS-S,NONE,20.00,19.82,1RXS J001739.1+120242,Guenther,4.416,12.042,archived,VFAINT,TE,4.323338702981651,85674,2022-05-27 14:05:52,2022-05-30 18:42:00,20201077,STARS AND WD,CCT,23,20,None,
201539,26431,ACIS-S,NONE,20.00,19.81,* 58 Psc,Guenther,11.756,11.974,archived,VFAINT,TE,4.2162970182253074,83529,2022-06-02 08:04:30,2022-06-07 11:56:21,20201077,STARS AND WD,CCT,23,20,None,
201541,26447,ACIS-S,NONE,20.00,19.81,1RXS J042441.9-064725,Guenther,66.178,-6.792,archived,VFAINT,TE,4.422235630953353,87605,2022-07-08 15:58:34,2022-07-11 07:43:36,20201077,STARS AND WD,CCT,23,20,None,
201542,26458,ACIS-S,NONE,35.00,31.45,HD 286572,Kastner,62.456,9.305,archived,VFAINT,TE,9.545977077001066,300178,2022-07-21 23:29:48,2022-07-22 09:48:20,20201074,STARS AND WD,CCT,23,20,None,
201555,26476,ACIS-S,NONE,20.00,20.80,1RXS J195401.9-143722,Guenther,298.501,-14.622,archived,VFAINT,TE,3.895944065201063,81028,2022-07-31 07:46:46,2022-08-01 07:28:21,20201077,STARS AND WD,CCT,23,20,None,
201583,27260,ACIS-S,NONE,15.00,13.90,HD 201919,Kastner,318.272,-17.487,archived,VFAINT,TE,0.6597618754364508,9168,2022-08-19 04:52:27,2022-08-19 16:14:57,20201074,STARS AND WD,CCT,23,20,None,
201588,27475,ACIS-S,NONE,20.00,18.63,2RXS J020951.4+034604,Guenther,32.464,3.769,archived,VFAINT,TE,4.130612358673414,76948,2022-10-12 20:27:09,2022-10-13 19:07:30,20201077,STARS AND WD,CCT,23,20,None,
201593,27540,ACIS-S,NONE,15.00,13.95,2MASS J02121535+2357298,Kastner,33.064,23.958,archived,VFAINT,TE,0.6742298174550218,9403,2022-11-10 07:28:10,2022-11-16 15:11:03,20201074,STARS AND WD,CCT,23,20,None,
201594,27541,ACIS-S,NONE,20.00,18.82,2RXS J223928.9-520525,Guenther,339.876,-52.088,archived,VFAINT,TE,3.936639993183834,74104,2022-11-12 18:11:49,2022-11-13 09:21:03,20201077,STARS AND WD,CCT,23,20,None,
201596,27552,ACIS-S,NONE,15.00,14.04,GJ 3261,Kastner,61.412,5.745,archived,VFAINT,TE,0.6600819774216033,9267,2022-11-18 19:00:59,2022-11-20 10:01:04,20201074,STARS AND WD,CCT,23,20,None,
201597,27553,ACIS-S,NONE,10.00,9.95,Gaia DR2 14143675198789504,Agüeros,49.563,9.245,archived,VFAINT,TE,3.8333985852955093,38137,2022-11-19 13:51:08,2022-11-20 10:21:04,20201075,STARS AND WD,CCT,23,20,None,
201598,27566,ACIS-S,NONE,10.00,9.95,Gaia DR2 125343573948444800,Agüeros,48.262,32.896,archived,VFAINT,TE,3.8752783315905264,38547,2022-11-21 00:26:05,2022-11-21 14:51:03,20201075,STARS AND WD,CCT,23,20,None,
201599,27572,ACIS-S,NONE,10.00,9.77,Gaia DR2 3309170875916905856,Agüeros,69.739,14.106,archived,VFAINT,TE,3.859740042834444,37705,2022-12-01 17:57:18,2022-12-02 07:31:04,20201075,STARS AND WD,CCT,23,20,None,
201600,27573,ACIS-S,NONE,10.00,9.77,Gaia DR2 3410453489022728576,Agüeros,68.426,19.013,archived,VFAINT,TE,3.81345535696251,37255,2022-12-01 01:59:44,2022-12-01 10:31:04,20201075,STARS AND WD,CCT,23,20,None,
201601,27574,ACIS-S,NONE,10.00,9.77,Gaia DR2 3410640887035452928,Agüeros,68.171,19.113,archived,VFAINT,TE,3.7872509663738,36999,2022-12-01 09:58:41,2022-12-06 13:31:04,20201075,STARS AND WD,CCT,23,20,None,
201602,27600,ACIS-S,NONE,15.00,15.33,HD 27808,Kastner,66.061,21.736,archived,VFAINT,TE,0.6212291001145258,9525,2022-12-15 10:22:03,2022-12-16 07:51:04,20201074,STARS AND WD,CCT,23,20,None,
201606,27612,ACIS-S,NONE,10.00,9.94,Gaia DR2 3405127244241184256,Agüeros,72.215,15.948,archived,VFAINT,TE,3.7564486825396814,37354,2022-12-20 04:04:29,2022-12-20 12:11:04,20201075,STARS AND WD,CCT,23,20,None,
