ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
637,246.61434496666567,-24.40499334499369,2.079244965675024,0.10797012148359901,10.457764625549316,no,no,yes,no,no,no,no,no
637,246.77485356448054,-24.438478406537044,7.603971749865671,0.3009502641313278,31.981027603149414,no,yes,yes,no,no,no,yes,no
637,246.5982934612709,-24.411009805796702,3.022034210110381,0.03639763448896072,121.35321044921875,no,no,yes,no,no,no,yes,no
637,246.76242179264815,-24.437513116478012,6.96189387028048,0.5231208137729013,9.024821281433105,no,yes,yes,no,no,no,yes,no
4514,151.71941523935112,-40.42661162224251,1.277639148915227,0.11769214077396208,14.449097633361816,no,no,no,no,no,no,yes,no
7415,339.69546425177674,75.19248149449767,0.2340206827410945,0.01981347722530652,382.5488586425781,no,no,yes,no,no,no,no,no
7415,339.9273702836055,75.24049593579835,4.642981961394624,0.10382821611361914,50.53678894042969,yes,no,yes,no,no,no,yes,no
8588,339.5592654295553,75.20642951720865,2.025307561880644,0.07935077180189476,36.75914001464844,yes,no,yes,no,no,no,yes,no
8588,339.5780362721653,75.19821984411121,1.62518464033819,0.02768785759308212,211.94505310058594,yes,yes,yes,no,no,no,yes,no
7439,296.1168204003397,50.58232209391655,4.635041326474016,0.26624732613107654,12.856217384338379,no,no,no,no,no,no,no,no
7446,245.91750399798724,-26.490603768894346,3.631624339253428,0.13670139304183332,24.02637481689453,yes,no,yes,no,no,no,yes,no
9841,175.00502802912297,-31.917418672849003,4.744574717512451,0.363050812299814,10.53874397277832,no,no,no,no,no,no,no,no
9923,193.92558423665074,38.355548401329195,4.479080668592424,0.33788743194529786,5.775545597076416,no,no,no,no,no,no,no,no
11012,237.36079088979608,-26.118918896820464,6.816419110818998,0.3295021826366493,17.799226760864258,yes,no,no,no,no,no,yes,no
12331,245.6251065221226,-24.189842256728898,6.226839442367099,0.057732927749192545,365.355224609375,yes,no,yes,no,no,no,yes,no
13624,238.4909830531295,-24.033249655714872,3.478146707263873,0.12921121992756537,37.35612106323242,yes,no,no,no,no,no,yes,no
13624,238.43303362010477,-24.105564416141473,8.226051027177517,0.36536652842465256,34.8949089050293,yes,no,no,no,no,no,yes,no
13653,173.07902635431495,-30.27676813429861,3.232188143275945,0.1341014463627301,18.047029495239258,yes,no,yes,no,no,no,yes,no
15724,229.85674754211777,-7.722518002868019,0.4583874287638498,0.04096576281160897,113.2994155883789,yes,no,no,no,no,no,no,no
16666,286.76036654373075,40.23648236309624,3.992078333178958,0.22461652238681323,6.990019798278809,yes,no,no,no,no,no,no,no
17249,246.6785314654053,-24.34186812214503,3.805527516470809,0.023802983137335827,552.2943115234375,yes,no,yes,no,no,no,no,no
17249,246.76256086805472,-24.437694132436043,6.307596841106472,0.32510981928218,19.812671661376953,no,yes,yes,no,no,no,yes,no
17249,246.6271766985138,-24.382711987502585,1.852668944107992,0.07105601057165666,59.15084457397461,no,no,yes,no,no,no,no,no
17249,246.59258750735626,-24.413568185917054,3.448008566051439,0.14963141045379658,20.2847900390625,no,no,yes,no,no,no,yes,no
17254,130.0173212974653,19.413915632255588,7.524082423051322,0.47970293086110993,20.838787078857422,yes,yes,yes,no,yes,no,yes,no
17256,129.88230469378874,19.404797792188788,8.261887270657637,0.4982986560360617,18.58429527282715,yes,yes,yes,no,yes,no,yes,no
17257,129.88199785779966,19.4047277834173,8.186870050142247,0.6198300615852463,17.35457420349121,yes,yes,yes,no,yes,no,yes,no
18928,33.71962885971864,89.21442505195623,4.770022349265849,0.26377808127277136,13.586315155029297,yes,no,no,no,no,no,no,no
23413,188.9591460451117,-35.04194022318453,10.0598637926225,0.8309572462481243,17.851591110229492,yes,no,no,no,no,no,yes,no
3778,259.2635078064635,43.15313241808781,1.650483120326706,0.10001493715566104,17.6904296875,yes,no,no,no,no,no,no,no
7458,246.7784258922126,-25.96469478132438,4.945701634655764,0.2840239761720177,15.419992446899414,yes,no,no,no,no,no,yes,no
16687,122.938479421345,2.296045620458245,8.434655368115786,0.45382774023246597,24.98067855834961,yes,no,no,no,yes,no,yes,no
13727,201.71886324400975,-47.46044054794149,1.406397540071052,0.09204028810336323,19.412437438964844,no,yes,yes,no,no,no,no,no
13734,256.3571175047999,-22.73912624935174,4.019624719385348,0.1968013690578505,12.812308311462402,yes,no,no,no,no,no,yes,no
23472,202.4723991958659,47.178477417705224,2.121509730114828,0.07718690588174662,52.749969482421875,yes,yes,yes,no,no,no,no,yes
23473,202.44238071494735,47.17836591106324,3.789275613497061,0.18949231174343514,15.362924575805664,no,yes,yes,no,no,no,no,yes
23474,202.44263408278374,47.17803718164988,3.99892642362802,0.25087176006874473,3.818098545074463,no,yes,no,no,yes,yes,no,no
23476,202.4723586019302,47.17869418078824,3.90695484134567,0.22231207963115326,13.081918716430664,yes,yes,yes,no,yes,yes,no,yes
2790,197.04891983062814,21.496017336459317,8.571864384068986,0.755417291914308,8.065977096557617,yes,yes,no,no,yes,no,yes,no
4394,225.7757346679547,-41.9916289779785,2.031869400338888,0.04164231527456093,87.34571075439453,yes,no,yes,no,no,no,no,no
4630,114.14233379346594,65.64858006538797,4.885935383638153,0.10409645862953837,100.23136138916016,yes,yes,yes,no,no,no,no,yes
4631,308.3429033299831,60.23162172234501,15.26669757017533,0.34275128027974866,102.49011993408203,yes,yes,yes,no,no,no,no,no
6661,146.81975479388976,31.855723216925888,11.12269443341184,0.4670200186876807,55.02997970581055,yes,no,no,no,no,no,no,no
7607,171.88603809117976,56.88492190784222,0.2206871458339324,0.12673615314387285,6.942936420440674,no,no,yes,no,no,no,no,no
10875,187.06527190133343,44.0936031982952,1.509790211787304,0.10645639614663696,11.49653148651123,yes,no,yes,no,no,no,no,yes
10127,120.51749216308927,0.9864596403545897,10.68656573949978,0.3773142285012709,33.11894989013672,yes,yes,no,no,no,no,yes,no
11105,225.90589068757313,-31.8470839303036,11.57737206547944,0.6174531715487611,23.724393844604492,yes,no,no,no,no,no,yes,no
12301,148.786765393384,68.95618697381816,3.954106349311388,0.17625130180136692,20.312955856323242,yes,yes,no,no,yes,no,yes,yes
16580,149.03367777485462,69.69440368173639,2.373663816762702,0.04363369015684483,55.84620666503906,no,yes,yes,no,no,no,no,yes
19029,212.0961279526103,52.29872850770128,7.287203359109094,0.4536205244575948,14.098366737365723,yes,no,no,no,no,no,yes,no
20998,202.4475888866251,47.161122447637034,2.95168933500376,0.1411506215682939,14.692543029785156,yes,no,yes,no,no,no,no,yes
782,67.70054452798044,64.84738131633362,1.255696225567594,0.013803253472076565,271.81329345703125,yes,yes,yes,no,yes,no,no,yes
782,67.83772094825066,64.84154235953292,2.917828805557602,0.12135755825502809,15.828291893005371,yes,no,no,no,yes,no,no,no
803,186.3815785116022,13.066452477077807,13.28549539483398,0.23062897899287807,107.89669036865234,no,no,no,no,no,no,no,no
962,201.28112729971804,-43.06936601859383,5.384891896035262,0.03877597964850024,364.0096740722656,yes,yes,yes,yes,no,no,yes,yes
1587,161.94991084004016,12.579324386510152,1.594325101900225,0.09290022278111444,22.163742065429688,yes,no,no,no,no,no,yes,yes
2015,186.15924798381576,7.351942012555944,4.421345104200796,0.14886448248746398,30.479211807250977,no,yes,yes,no,no,no,no,no
