ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match
27083,76.7259218180244,-68.66735354882215,4.39,0.2561218429525651,7.553003787994385,yes,no,yes,no,no,no
22704,10.027611141452056,-73.5942348624244,3.047,0.2642979941041233,7.040994644165039,yes,no,no,no,yes,no
24634,10.153507775418197,-73.58776802145232,2.111,0.0857006203853269,16.233251571655273,yes,no,no,no,no,no
24268,79.9771947429865,-69.04619283483959,1.848,0.1334900002807537,6.761600494384766,no,no,no,no,no,no
26645,50.07253788134507,8.81613716129261,4.205,0.3432919170992587,4.266607284545898,no,no,no,no,no,no
23062,72.83418776336315,-69.45311462672134,4.855,0.5683345405657277,5.6669745445251465,yes,no,no,no,no,no
24450,237.6656934591508,-78.15224377897553,2.714,0.2666493750464609,6.006357192993164,yes,no,no,no,no,no
24450,237.5198003219725,-78.21933206778546,2.171,0.1548984252666636,10.959477424621582,yes,no,yes,no,no,no
24451,237.53937641803583,-78.14828140398747,2.074,0.1167606289809204,11.7368803024292,yes,no,yes,no,no,no
24451,237.5191707472335,-78.21959459361405,2.255,0.0946343609587106,34.18753433227539,yes,no,yes,no,no,no
24454,237.3683558517421,-78.20659682568672,2.385,0.0785788367895292,34.662353515625,no,no,no,no,no,no
24458,237.5198578230303,-78.2196638103692,2.127,0.1040173124158135,31.746671676635746,yes,no,yes,no,no,no
23798,69.51690785886844,-12.271767606197152,2.659,0.1127078837321851,3.474945545196533,yes,no,yes,no,no,no
23798,69.50049413657463,-12.36460259180175,5.944,0.6124482216634608,5.757307529449463,no,no,yes,no,no,no
25911,3.522855388740988,-30.343427829392528,4.663,0.4182766403457993,5.024651527404785,yes,no,yes,no,yes,no
25917,3.77778433535247,-30.40962237041527,9.827,1.0156965243883764,5.188941478729248,yes,no,yes,no,no,no
25922,3.685826061632364,-30.4738969148142,6.766,0.5513541982201522,5.058663845062256,no,no,no,no,no,no
25929,3.6219073052272712,-30.46584940569717,4.274,0.2915555555556447,4.198468208312988,no,no,no,no,no,no
25950,3.738190518732573,-30.44614144169092,8.279,0.8650519002483513,4.840493679046631,yes,no,yes,no,no,no
25960,3.5226316379703464,-30.34379550077202,4.692,0.4154158450512346,7.412874698638916,yes,no,yes,no,yes,no
25967,3.692247738514452,-30.40066195260788,5.251,0.4230756559883305,7.291473388671875,yes,no,yes,no,no,no
27449,3.6298238240970826,-30.37770675498721,2.487,0.174795688397219,5.6744585037231445,no,no,no,no,no,no
27575,3.6549378190710153,-30.38021082131701,3.713,0.1823555373440176,9.799097061157228,no,no,no,no,no,yes
28370,3.5834995602729838,-30.46059222810089,3.755,0.2860221436647945,2.9847803115844727,no,no,yes,no,no,no
28872,3.6546031682268674,-30.380326016092383,3.424,0.2119004799690516,6.963069915771484,no,no,yes,no,no,yes
25402,81.40564455681681,-45.97196548976228,3.721,0.3840673769014787,1.6971588134765625,no,no,no,no,no,no
27409,336.8874750279704,0.4186730344496477,4.204,0.3848453193226772,7.6416096687316895,no,no,no,no,yes,no
27970,297.3021206051354,-10.61051158745641,2.55,0.1712087541571131,4.2000732421875,yes,no,no,no,no,no
27970,297.30230119317474,-10.610126090353214,2.532,0.148471545375808,11.968327522277832,yes,no,no,no,no,no
27970,297.3147332757167,-10.48049340901987,5.621,0.4064413462002935,7.562683582305908,yes,no,no,no,no,no
28972,342.439644828048,-44.81051436253372,6.122,0.5141121557033106,3.756394624710083,no,no,no,no,no,no
28914,351.36785039068684,-9.756191826116112,3.627,0.3455021752266134,8.991790771484375,no,no,no,no,yes,no
29040,38.203598542117774,-21.40042825461713,7.687,0.8360488646854403,7.620090961456299,no,no,no,no,no,no
29040,38.21516537350567,-21.289119825211813,4.509,0.2566490970776489,12.771592140197754,yes,no,yes,no,no,no
24508,308.1870516884749,-40.68302805911858,9.851,0.8536982721234189,9.309959411621094,yes,no,no,no,no,no
24329,305.5841623571134,-55.5670862212444,6.986,0.7899458454727676,6.261404991149902,yes,no,no,no,no,no
26075,89.82670912567154,-20.223301384078106,10.889,0.1442385627439368,244.664306640625,yes,no,no,no,no,no
26941,50.873490158542566,-6.78681829083582,4.319,0.4536015872989564,4.032780170440674,no,no,no,no,no,no
27215,64.49824511256098,-47.74136236502209,6.308,0.537485085904327,5.538585186004639,no,no,no,no,no,no
27462,5.046432605238026,1.5514924564810282,9.789,0.4779476956306985,31.23647117614746,yes,no,no,no,no,no
27462,5.182639685260209,1.5784877179186605,1.739,0.1295885411603073,10.10831356048584,no,no,no,no,no,no
