ObsId,RA,DEC,THETA,POS_ERR,SIGNIFICANCE,gaia_match,archival_match,chandra_match,erosita_match,ned_match,simbad_match,vizier_match,xray-binaries_match
1882,91.89683250249783,-6.3854129135172935,3.856542726173842,0.16074928304642344,8.042570114135742,no,no,no,no,no,no,no,no
1882,91.94014138162822,-6.381841345712502,1.269817892678333,0.1178747045536231,10.932162284851074,no,no,no,no,no,no,no,no
1882,92.07867930236483,-6.435340483418493,7.681622921997976,0.5240887876529614,12.3027925491333,yes,no,no,no,no,no,yes,no
1882,91.99723055015771,-6.440685248743144,4.103161748501926,0.14691688988510057,24.375553131103516,no,no,no,no,no,no,yes,no
1882,91.84773374426693,-6.450777610256169,7.927676203822568,0.2642170601190561,17.582416534423828,yes,no,no,no,no,no,yes,no
1882,91.8717165448022,-6.437126339830117,6.280453847191787,0.3270256696737713,15.415064811706543,no,no,no,no,no,no,no,no
3498,83.85557947910266,-5.424859052084564,2.839681991921461,0.11192245337070814,16.017141342163086,yes,no,yes,no,yes,no,yes,no
3498,83.81814243277255,-5.419320628808395,1.458509656035521,0.014023922123380458,344.2323303222656,yes,no,yes,no,yes,no,yes,no
3498,83.8517863041032,-5.411036854093788,2.198736966330237,0.028320393984648137,127.07847595214844,yes,no,yes,no,yes,no,yes,no
3498,83.81234763512178,-5.404728923225068,0.6946728401690312,0.07935137142026726,7.2683515548706055,yes,no,yes,no,no,no,no,no
3498,83.8539447534629,-5.4003928368813625,2.131034917161433,0.0708633090184161,24.940292358398438,yes,no,yes,no,no,no,no,no
3498,83.79888005215088,-5.392603639066495,1.191585233759535,0.05597527630002778,15.850507736206055,no,no,yes,no,no,no,yes,no
3498,83.81104570683053,-5.369755766286818,1.58285660653331,0.028311223076695403,68.24755859375,yes,no,yes,no,no,no,no,no
3498,83.79709859514523,-5.354268784453418,2.764026828597905,0.05697884558065791,25.572433471679688,no,no,yes,no,no,no,yes,no
3498,83.80501053251955,-5.347931204821581,2.940851277996614,0.039801604362806775,96.44756317138672,yes,no,yes,no,yes,no,yes,no
3498,83.80657523085414,-5.3420125751148655,3.261498209245244,0.047016098590958365,50.56141662597656,yes,no,yes,no,yes,no,yes,no
3498,83.80832271208119,-5.407748860530554,0.9829758538000638,0.04516944104591036,29.6662540435791,no,no,yes,no,no,no,no,no
3498,83.79574028195847,-5.373485957528154,1.883307343122878,0.026104971374106042,103.91523742675781,yes,no,yes,no,no,no,yes,no
3498,83.84506190133419,-5.33963668158242,3.677662089235541,0.06239170297961291,46.66818618774414,no,no,yes,no,no,no,no,no
3498,83.80693289473439,-5.479506909616166,5.117662418797323,0.132639247544622,52.159912109375,no,yes,yes,no,yes,no,yes,no
3498,83.71484910859687,-5.420234528422196,6.384014779150712,0.07330361385290288,144.4678497314453,yes,no,yes,no,yes,no,yes,no
3498,83.84655762064249,-5.374499001210028,2.070946457833423,0.03912214802496933,69.47132110595703,yes,no,yes,no,yes,no,yes,no
3498,83.79978483663969,-5.479198916878587,5.175412948022891,0.26421535239008975,14.569232940673828,no,yes,yes,no,no,no,yes,no
3498,83.7849095676645,-5.474864533304546,5.19812190750009,0.27871783715792403,10.114927291870117,yes,no,yes,no,yes,no,yes,no
3498,83.84816796354238,-5.325021252742488,4.554269182342515,0.2231757321203637,7.430656433105469,no,no,yes,no,no,no,no,no
3498,83.79954880002097,-5.531951388945226,8.29508104018652,0.07686956094167406,253.4277801513672,yes,yes,yes,no,yes,no,yes,no
3498,83.78100175795176,-5.444452828369618,3.723287478480933,0.027067325916670285,347.0059814453125,yes,yes,yes,no,yes,no,yes,no
3498,83.84480069274875,-5.365962948923652,2.339600201170707,0.08215120925065258,21.374622344970703,no,no,yes,no,yes,no,no,no
3498,83.87808578652341,-5.362931632428603,4.037225094031091,0.1122784375255113,40.622318267822266,yes,no,yes,no,no,no,yes,no
3498,83.78831815382435,-5.516203774955441,7.493878386006807,0.09176094840922681,187.78955078125,yes,yes,yes,no,yes,no,yes,no
3498,83.84067950746149,-5.394225687559947,1.314973469082051,0.06196994063181231,22.94416618347168,yes,no,yes,no,yes,no,no,no
3498,83.81742266913442,-5.3589693048672284,2.164227548804184,0.058302169178416546,17.727575302124023,yes,no,yes,no,yes,no,yes,no
3498,83.85417187161406,-5.342838496089524,3.7811122749038,0.08332417637845958,33.66954803466797,no,no,yes,no,no,no,yes,no
3498,83.84333617752188,-5.419261725373343,2.070023691515968,0.041666181581653985,72.29969787597656,yes,no,yes,no,yes,no,yes,no
3744,83.84555063371978,-5.541237819299623,8.900715563023205,0.12899624199097579,143.74716186523438,yes,yes,yes,no,yes,no,yes,no
3744,83.88698513762981,-5.505922449625671,7.780524113172405,0.09990063082383473,115.06534576416016,yes,no,yes,no,yes,yes,yes,no
3744,83.82422591188643,-5.411333027238447,1.01251414683729,0.05119979782376028,22.35265350341797,yes,no,yes,no,yes,no,yes,no
3744,83.82423928468442,-5.4084479034104,0.8494179114108054,0.03770479558163496,57.27252960205078,yes,no,yes,no,yes,no,no,no
3744,83.81216121059147,-5.403518840188322,0.646545593832299,0.02173129220514342,121.84571075439453,yes,no,yes,no,yes,no,no,no
3744,83.8665113324937,-5.379637409975331,2.983015245603536,0.07226667759990257,18.019630432128906,no,no,yes,no,no,no,yes,no
3744,83.83718646370147,-5.364083754689331,2.15956958068872,0.013429869792142028,254.8925323486328,yes,no,yes,no,yes,no,yes,no
3744,83.84282236289874,-5.361757019322439,2.45889337951287,0.0224055932603682,125.69447326660156,no,no,yes,no,yes,yes,no,no
3744,83.81743552985473,-5.352960367258418,2.539209473297791,0.016741685118819283,231.45901489257812,yes,no,yes,no,yes,no,yes,no
3744,83.78460963659097,-5.3269538893911905,4.586471216119183,0.04498729673479712,112.8956527709961,no,no,yes,no,no,no,yes,no
3744,83.83209408838295,-5.32498424153903,4.2867042034374,0.1222022448269948,19.014528274536133,no,no,yes,no,no,no,yes,no
3744,83.833253906985,-5.312843113107396,5.01608156361763,0.13790526520722346,25.22633171081543,no,no,yes,no,yes,no,yes,no
3744,83.81147777938435,-5.571258168848578,10.57041050846959,0.22752281801794394,62.46713638305664,yes,yes,yes,no,yes,no,yes,no
3744,83.74817168507495,-5.400011595972161,4.246419802191399,0.06632312379573506,43.04987335205078,yes,no,yes,no,yes,yes,yes,no
3744,83.80558397068528,-5.398049609852686,0.8246422914734941,0.05912057424453256,13.435368537902832,no,no,yes,no,yes,no,no,no
3744,83.83596000883843,-5.3792726717926564,1.390382105720468,0.018984063279252103,110.2862319946289,yes,no,yes,no,yes,no,yes,no
3744,83.84869531229346,-5.370166171312273,2.321709225509902,0.08772245051107742,17.403573989868164,no,no,yes,no,yes,no,yes,no
