ObsId RA DEC THETA POS_ERR SIGNIFICANCE
8490 201.24334997451078 -43.04058362089512 3.782 0.18944898660358345 9.574898719787598
8490 201.46973603192865 -43.09606289711567 6.714 0.2366094798053941 25.823556900024414
8490 201.4437514172914 -43.1606218936261 8.152 0.2369697493048672 48.01696014404297
9546 211.2511249551987 53.65705961254904 0.3516666666666667 0.07657115559063839 15.83505916595459
9548 170.0728807666797 12.971882783463144 1.275 0.03867481038766052 60.85281753540039
14904 345.49250178555906 15.948703559294035 1.62 0.0841585700527913 13.364900588989258
4062 76.68677721975321 -31.88658870680426 6.245 0.11017413189347564 108.77521514892578
4062 76.77817721461076 -31.869820454790272 10.66 0.3709350165963833 41.93905258178711
4062 76.68116155824013 -31.979151038136074 4.623 0.22054959078325026 20.24419403076172
5885 318.12659932619124 -63.498980265363635 3.672 0.2106421106175894 8.786419868469238
5885 318.1163347343031 -63.44719832305917 1.888 0.07723993124814679 21.680870056152344
9841 175.00502802912297 -31.917418672849003 4.745 0.363050812299814 10.53874397277832
12264 90.00442872803535 -52.71504419773976 4.701 0.2767100330713763 12.066136360168457
12264 90.11118640707272 -52.7221234663525 7.644 0.5640619992458135 16.23258399963379
12884 212.12046698241707 -27.057995046513206 12.961 0.4060499533637473 33.672420501708984
13454 15.935693730603868 -21.812706512890927 7.384 0.32639995393184523 16.7299747467041
15113 45.268361416593024 -77.88092172934407 6.611 0.6491172130284858 7.617845058441162
15113 45.78805627036417 -77.74335895338677 9.305 0.7309116694166318 10.54832649230957
16454 53.16163226003447 -27.859486846350006 3.737 0.08609971438542988 47.09370422363281
16454 53.079386652235726 -27.798874733134884 2.278 0.22852509734513343 3.460390090942383
24835 19.432523854085872 -8.731552823611775 3.716 0.16842468643297737 7.736513137817383
23631 26.761745095335552 -9.254071580753319 4.928 0.4249331300765766 6.887124061584473
22442 77.14510861957423 -67.5195332239743 5.341 0.4273579843903372 11.526541709899902
22444 77.40597511111378 -67.55177472113239 1.808 0.10276065012833029 10.98344612121582
23022 77.82245536157369 -67.43193051112497 11.406 0.838214219027445 18.642013549804688
24636 77.40189837767288 -67.57550079293446 3.172 0.16634698603767906 13.622714042663574
24638 77.40621365887372 -67.55178564084378 1.816 0.15498095086075298 7.99616003036499
26202 56.05343497128554 28.193722077314177 2.749 0.062437180553694696 81.20532989501953
23406 65.43543409876051 20.40268425599928 0.12333333333333334 0.03571338288607763 154.4210205078125
24386 65.43566006541032 20.402824131779486 0.39333333333333337 0.16802724041344116 8.684545516967773
24388 65.43561674140588 20.40248529586811 0.24833333333333335 0.1106038645062941 15.532391548156738
24878 65.43544750213303 20.40261287685649 0.125 0.14331650004987856 9.053296089172363
23577 80.25923297616194 1.3358403793375384 1.57 0.12108495767587253 17.637279510498047
23577 80.39598447028504 1.3064450333264646 8.4 0.5543826271906019 20.301956176757812
24311 124.4136504413134 -7.612863178576952 5.495 0.3313400604682631 14.66213321685791
24885 111.98113576915945 80.19317245172071 3.605 0.4667166110840764 3.6907095909118652
23821 147.75043584090932 51.50453894972486 3.835 0.276123342252221 6.245823383331299
23472 202.4723991958659 47.178477417705224 2.122 0.07718690588174662 52.749969482421875
23472 202.64184671857788 47.16180234413749 5.635 0.4963946793976567 9.134196281433105
23472 202.50436403346774 47.228810327134276 1.846 0.03811515405104951 126.8359603881836
23473 202.44238071494735 47.17836591106324 3.789 0.18949231174343514 15.362924575805664
23473 202.42774745442793 47.178819364815894 4.22 0.33060233026041047 4.669909477233887
23474 202.44263408278374 47.17803718164988 3.999 0.25087176006874473 3.818098545074463
22651 209.927294001265 41.08993986689252 4.034 0.2439479730680406 10.239227294921875
22651 210.08805382159406 41.03620917352938 3.969 0.2510378250053128 9.0823974609375
23484 187.6265047829964 41.648230254634655 3.36 0.19485101376202604 16.97547721862793
23484 187.63738653837035 41.670778727286695 1.938 0.11570107634351463 13.675471305847168
25042 341.9708393316142 65.06225870401742 0.165 0.07182678871555985 35.40494155883789
22350 335.49754846915 58.729702205376 3.381 0.23076845538357482 7.854080677032471
22350 335.51641849399164 58.763212309588845 5.297 0.1823069721998486 23.854948043823242
23050 335.53695798400076 58.73467126671293 3.513 0.25628042788108085 12.746251106262207
23050 335.6042322875482 58.586548028923374 5.954 0.44084786317650276 7.146579742431641
24642 335.3831470814567 58.561316758121855 8.238 0.5217562186668651 15.33303451538086
24642 335.5933917255988 58.56293821046801 7.302 0.46359709554421114 12.04244327545166
24642 335.5489675247232 58.57987407571079 5.988 0.3151995758953385 17.154624938964844
24307 68.80738052470826 20.133456595284063 0.08166666666666668 0.03468517816336284 132.10743713378906
24309 68.80755440267386 20.133397351816626 0.10166666666666666 0.09594425448434302 22.827821731567383
24310 68.80749754599914 20.133456027689082 0.07166666666666667 0.09071877332367076 15.62531566619873
24914 68.74238171675539 20.08471430596115 4.618 0.18934137508762316 20.33892059326172
23418 313.3863425945742 44.5511321883435 1.95 0.07677884611624142 20.35976791381836
26126 313.39522597332154 44.54873376679519 1.678 0.12054206977600923 14.539924621582031
26126 313.44488627341167 44.3913423701892 8.146 0.8638385113903638 5.881129741668701
25119 43.4989988560472 26.344930153762313 3.526 0.18405120342227116 3.4226155281066895
27601 92.33870639561056 13.109498288490295 4.698 0.13363213281232403 52.185123443603516
24482 19.43269574956118 65.33292207603583 3.308 0.27223244365958604 7.786542892456055
24483 19.452888895389197 65.24891572373714 2.897 0.2301119292863791 1.7990906238555908
23477 202.41434487443652 47.21230856831212 0.44333333333333336 0.06645078868664885 36.995849609375
23477 202.4164961354718 47.21040069286072 0.5716666666666667 0.08951112374717889 28.203481674194336
23478 202.47195060448084 47.17867582583678 2.875 0.12177222672602601 21.30406379699707
23479 202.51760123469967 47.22244730606814 4.887 0.33800077624109487 11.043736457824707
23479 202.41628674426923 47.21015695096837 2.043 0.07013071188250435 57.67522430419922
803 186.3815785116022 13.066452477077807 13.285 0.23062897899287807 107.89669036865234
2025 167.86794009301224 55.672527887945414 2.408 0.09718248253236364 19.887924194335938
23487 187.66188031663623 41.636132294079644 2.908 0.1454523757111102 19.692283630371094
23487 187.64630116722768 41.64640643088012 2.138 0.1517524824438454 9.016103744506836
23488 187.66173433407874 41.6360916527896 2.457 0.08753291125732836 28.10297393798828
23489 187.66182351791952 41.63610435006035 1.921 0.0657568084200524 49.74999237060547
23491 187.64631625996262 41.646328105754485 1.284 0.09846312690913951 21.838043212890625
27707 70.21565621219378 44.52543886847969 1.3 0.05943586038731906 29.24872398376465
27707 70.21637500261589 44.52557571004318 1.269 0.05821422506558499 19.376869201660156
27707 70.2193629715997 44.52603422209521 1.14 0.05878718763908437 19.895055770874023
27707 70.21886046725005 44.525999946732384 1.161 0.069078206886591 22.48775863647461
27707 70.28349444839816 44.535835843818326 1.699 0.0 15.53921127319336
27707 70.28271936863445 44.53579055340137 1.666 0.06164289418243735 41.659751892089844
27707 70.2840383707668 44.53599468492613 1.723 0.07433589055837453 16.9671688079834
27707 70.28461963408405 44.5360288458132 1.748 0.06625721550134693 17.827770233154297
27707 70.28521614743136 44.53614346305587 1.774 0.07395751661382977 16.594722747802734
27707 70.2861562777237 44.53628984948785 1.815 0.09079570615709055 26.191436767578125
27707 70.25742651137821 44.50632542112671 1.727 0.09179424556553505 31.743690490722656
27707 70.25720524223392 44.50700524572509 1.686 0.05856463177920282 21.340890884399414
24427 336.18241258087795 65.67134991915218 5.794 0.5446649067284209 6.4221272468566895
24432 336.4782160643283 65.56873357155965 1.586 0.052390406857059355 73.14701080322266
24434 336.4606943361423 65.54262274419813 3.772 0.2887223209494612 9.560431480407715
24434 336.7311940735581 65.60721118188503 5.812 0.40918366615108903 8.662036895751953
23541 6.765893709239792 64.11766744505377 7.868 0.5061170449359562 15.873173713684082
23554 56.75204826084187 43.16960019354115 5.551 0.3584728312890404 18.14474105834961
23555 56.707302280863 43.20149962779427 2.627 0.127524740516306 20.12629508972168
23582 178.31122911171954 10.841826395740775 4.272 0.23735659811049795 11.155279159545898
26655 350.85285606815785 58.78552511120397 0.9783333333333334 0.03324190864745973 96.2107925415039
26655 350.8516867584289 58.786250813539986 0.9883333333333333 0.03013016037568161 82.87129974365234
27863 210.9823601795029 54.349447323492235 3.334 0.15036859416783266 25.51070213317871
22481 56.63677775024114 68.06574263759163 1.507 0.06159577803325162 76.92709350585938
23815 48.207595081865115 41.19613325497504 8.394 0.8901817528049609 7.74568510055542
26414 49.990941174898694 68.60808951924798 11.402 0.22100399842653246 117.82569122314453
23820 128.2368443330671 23.063210020947512 2.346 0.1679166668685338 15.473371505737305
23827 263.65579349495306 88.6621863331238 5.033 0.6529314900255374 4.321642875671387
26444 178.40321293000244 49.600198228879236 5.205 0.2991080413351452 8.112722396850586
27657 255.6505489220101 12.892773409163084 7.64 1.0330860257681944 7.1182026863098145
27591 74.75889505421489 32.46056431635208 2.952 0.21438377348204116 7.124072074890137
27750 79.99481507507184 40.28057614639696 2.747 0.09791683546432926 41.18174743652344
27821 314.2834974404852 22.472060357912863 2.929 0.14288857838669156 12.149114608764648
25667 166.0911425931826 38.21018490692402 1.776 0.15498095086077124 5.9851155281066895
27183 166.14640512962245 38.20435972035945 2.234 0.17797849238048127 5.036820888519287
28661 166.1048636220547 38.21023920128976 1.677 0.055506277148179364 30.890642166137695
28662 166.07716066131664 38.21384867225163 2.421 0.22674867350758318 7.264430522918701
28666 166.12832688435162 38.200611862120326 1.813 0.21556166392526085 8.629096031188965
28463 166.12949517027062 38.24141016797098 0.7616666666666667 0.08350218490405499 30.16904640197754
24297 175.76456786241405 58.41324461189819 5.424 0.6055384615385252 4.962765216827393
26226 165.08740968631062 54.846261149499334 5.984 0.3290580096429228 10.999373435974121
25488 30.116587135442618 31.609149215022182 11.0 1.2949543095665863 6.172003746032715
27023 207.06443852491273 26.473833664212396 6.159 0.6005492324035606 8.991857528686523
23883 260.6395744067035 65.84501321546657 2.216 0.11996739429582581 13.566435813903809
23883 260.6712022242231 65.71150691130413 6.579 0.5119401117175582 12.448989868164062
23883 260.5837730125246 65.75498797824346 4.942 0.45835325380284075 6.623190879821777
27882 45.46908705528796 -16.653207358692836 3.34 0.22213778306887233 13.113472938537598
22317 251.76695178533083 -45.811642612199456 3.049 0.208663528337659 12.24407958984375
22317 251.7550160673415 -45.84098968238946 1.223 0.05502992987802496 49.1126594543457
22317 251.77850963347157 -45.83772319554513 1.84 0.09195764769383431 20.182613372802734
22318 251.6313131519253 -45.77965621961514 7.576 0.6266744258089878 10.163558006286621
22318 251.7558543265031 -45.8360968497791 1.82 0.09492578757359255 18.22903823852539
22319 251.79871444086697 -45.86411440719095 2.296 0.08264422288239283 15.81128978729248
22319 251.7663227541467 -45.85130420097744 0.9383333333333332 0.09815394977277712 12.139785766601562
22319 251.80737692066333 -45.84041412278622 2.773 0.13277309092286993 5.7584404945373535
22320 251.6912657509878 -45.88634884543815 3.72 0.20114209399135968 12.156359672546387
22320 251.73800855352727 -45.875454228583884 1.666 0.16508971298454708 6.3683037757873535
22321 251.7435224221181 -45.88885027064621 2.374 0.11492748223054629 14.035869598388672
22321 251.76125240833346 -45.855149041566975 0.5766666666666667 0.09657246912000979 10.810853004455566
22321 251.76258001107976 -45.838483149436875 1.168 0.13864225426116836 5.579930782318115
22321 251.75451080940084 -45.91535030976527 3.667 0.25668510397652544 4.9310455322265625
22321 251.7460852336606 -45.87688122660083 1.745 0.22394158464497818 5.142599105834961
22321 251.71956791036376 -45.806665486507214 3.756 0.3095194620314704 4.647512435913086
