# TEXT/SIMPLE
# elo ehi spectrum
1.959999998151 1.969999998139 2.3639300695169e-08
1.969999998139 1.979999998128 2.3537008654402e-08
1.979999998128 1.989999998117 2.3434755655328e-08
1.989999998117 1.999999998106 2.3332565368413e-08
1.999999998106 2.009999998095 2.3230462447446e-08
2.009999998095 2.019999998084 2.3128462436692e-08
2.019999998084 2.029999998073 2.3026592056333e-08
2.029999998073 2.039999998061 2.2924870633106e-08
2.039999998061 2.049999998050 2.2823311995620e-08
2.049999998050 2.059999998039 2.2721937697647e-08
2.059999998039 2.069999998028 2.2620762186627e-08
2.069999998028 2.079999998017 2.2519805900921e-08
2.079999998017 2.089999998006 2.2419082295510e-08
2.089999998006 2.099999997995 2.2318604417651e-08
2.099999997995 2.109999997983 2.2218386493435e-08
2.109999997983 2.119999997972 2.2118445450122e-08
2.119999997972 2.129999997961 2.2018789951795e-08
2.129999997961 2.139999997950 2.1919434558474e-08
2.139999997950 2.149999997939 2.1820390334148e-08
2.149999997939 2.159999997928 2.1721668005624e-08
2.159999997928 2.169999997917 2.1623277972504e-08
2.169999997917 2.179999997905 2.1525231819151e-08
2.179999997905 2.189999997894 2.1427533319894e-08
2.189999997894 2.199999997883 2.1330197968272e-08
2.199999997883 2.209999997872 2.1233230499443e-08
2.209999997872 2.219999997861 2.1136638408616e-08
2.219999997861 2.229999997850 2.1040431862131e-08
2.229999997850 2.239999997839 2.0944614941535e-08
2.239999997839 2.249999997827 2.0849195886754e-08
2.249999997827 2.259999997816 2.0754181257373e-08
2.259999997816 2.269999997805 2.0659575984922e-08
2.269999997805 2.279999997794 2.0565384832263e-08
2.279999997794 2.289999997783 2.0471615198543e-08
2.289999997783 2.299999997772 2.0378270080462e-08
2.299999997772 2.309999997761 2.0285353738726e-08
2.309999997761 2.319999997750 2.0192871658946e-08
2.319999997750 2.329999997738 2.0100826416753e-08
2.329999997738 2.339999997727 2.0009221838421e-08
2.339999997727 2.349999997716 1.9918062962695e-08
2.349999997716 2.359999997705 1.9827349299559e-08
2.359999997705 2.369999997694 1.9737086991745e-08
2.369999997694 2.379999997683 1.9647276692835e-08
2.379999997683 2.389999997672 1.9557920315292e-08
2.389999997672 2.399999997660 1.9469022302012e-08
2.399999997660 2.409999997649 1.9380583045307e-08
2.409999997649 2.419999997638 1.9292602886905e-08
2.419999997638 2.429999997627 1.9205084691357e-08
2.429999997627 2.439999997616 1.9118029937240e-08
2.439999997616 2.449999997605 1.9031438757580e-08
2.449999997605 2.459999997594 1.8945312505972e-08
2.459999997594 2.469999997582 1.8859652465256e-08
2.469999997582 2.479999997571 1.8709298614098e-08
2.479999997571 2.489999997560 1.8560769820974e-08
2.489999997560 2.499999997549 1.8478171257435e-08
2.499999997549 2.509999997538 1.8396017155177e-08
2.509999997538 2.519999997527 1.8314305207519e-08
2.519999997527 2.529999997516 1.8233039192701e-08
2.529999997516 2.539999997504 1.8152216734577e-08
2.539999997504 2.549999997493 1.8071837875534e-08
2.549999997493 2.559999997482 1.7991902622556e-08
2.559999997482 2.569999997471 1.7912409761732e-08
2.569999997471 2.579999997460 1.7833361612677e-08
2.579999997460 2.589999997449 1.7754755716104e-08
2.589999997449 2.599999997438 1.7676590800923e-08
2.599999997438 2.609999997426 1.7598867912766e-08
2.609999997426 2.619999997415 1.7521584579077e-08
2.619999997415 2.629999997404 1.7444741793482e-08
2.629999997404 2.639999997393 1.7368335929116e-08
2.639999997393 2.649999997382 1.7292369084766e-08
2.649999997382 2.659999997371 1.7216837635403e-08
2.659999997371 2.669999997360 1.7141742497354e-08
2.669999997360 2.679999997348 1.7067080067251e-08
2.679999997348 2.689999997337 1.6992851234980e-08
2.689999997337 2.699999997326 1.6919053525213e-08
2.699999997326 2.709999997315 1.6845684485890e-08
2.709999997315 2.719999997304 1.6772744970104e-08
2.719999997304 2.729999997293 1.6700231431552e-08
2.729999997293 2.739999997282 1.6628143617942e-08
2.739999997282 2.749999997270 1.6556479100688e-08
2.749999997270 2.759999997259 1.6485236545727e-08
2.759999997259 2.769999997248 1.6414413553808e-08
2.769999997248 2.779999997237 1.6344009869295e-08
2.779999997237 2.789999997226 1.6274023105698e-08
2.789999997226 2.799999997215 1.6204449849835e-08
2.799999997215 2.809999997204 1.6135289865119e-08
2.809999997204 2.819999997192 1.6066541855653e-08
2.819999997192 2.829999997181 1.5997274239832e-08
2.829999997181 2.839999997170 1.5928429503091e-08
2.839999997170 2.849999997159 1.5860923027959e-08
2.849999997159 2.859999997148 1.5793819166557e-08
2.859999997148 2.869999997137 1.5727116693480e-08
2.869999997137 2.879999997126 1.5660813376315e-08
2.879999997126 2.889999997114 1.5594907003808e-08
2.889999997114 2.899999997103 1.5529394387533e-08
2.899999997103 2.909999997092 1.5464274365711e-08
2.909999997092 2.919999997081 1.5399545777246e-08
2.919999997081 2.929999997070 1.5335204511395e-08
2.929999997070 2.939999997059 1.5271250430683e-08
2.939999997059 2.949999997048 1.5207679483231e-08
2.949999997048 2.959999997036 1.5144490582243e-08
2.959999997036 2.969999997025 1.5081681676589e-08
2.969999997025 2.979999997014 1.5019250734111e-08
2.979999997014 2.989999997003 1.4957194786002e-08
2.989999997003 2.999999996992 1.4895510900205e-08
2.999999996992 3.009999996981 1.4834199019575e-08
3.009999996981 3.019999996970 1.4773256243378e-08
3.019999996970 3.029999996958 1.4712678769167e-08
3.029999996958 3.039999996947 1.4652466578904e-08
3.039999996947 3.049999996936 1.4592615922146e-08
3.049999996936 3.059999996925 1.4533124948597e-08
3.059999996925 3.069999996914 1.4473991824346e-08
3.069999996914 3.079999996903 1.4415214731708e-08
3.079999996903 3.089999996892 1.4356790046246e-08
3.089999996892 3.099999996881 1.4298716914536e-08
3.099999996881 3.109999996869 1.4240991772719e-08
3.109999996869 3.119999996858 1.4183613801909e-08
3.119999996858 3.129999996847 1.4126580392025e-08
3.129999996847 3.139999996836 1.4069888073380e-08
3.139999996836 3.149999996825 1.4013536082891e-08
3.149999996825 3.159999996814 1.3957521890077e-08
3.159999996814 3.169999996803 1.3901843872901e-08
3.169999996803 3.179999996791 1.3846498673571e-08
3.179999996791 3.189999996780 1.3791483849824e-08
3.189999996780 3.199999996769 1.3736799588399e-08
3.199999996769 3.209999996758 1.3674633574669e-08
3.209999996758 3.219999996747 1.3612907414370e-08
3.219999996747 3.229999996736 1.3559353814770e-08
3.229999996736 3.239999996725 1.3506119147241e-08
3.239999996725 3.249999996713 1.3453201126468e-08
3.249999996713 3.259999996702 1.3400596649187e-08
3.259999996702 3.269999996691 1.3348304333427e-08
3.269999996691 3.279999996680 1.3296322807754e-08
3.279999996680 3.289999996669 1.3244648211931e-08
3.289999996669 3.299999996658 1.3193280057272e-08
3.299999996658 3.309999996647 1.3142215372862e-08
3.309999996647 3.319999996635 1.3091452870731e-08
3.319999996635 3.329999996624 1.3040989634758e-08
3.329999996624 3.339999996613 1.2990824416780e-08
3.339999996613 3.349999996602 1.2940954353985e-08
3.349999996602 3.359999996591 1.2891378236763e-08
3.359999996591 3.369999996580 1.2842093254197e-08
3.369999996580 3.379999996569 1.2793097432528e-08
3.379999996569 3.389999996557 1.2744389617710e-08
3.389999996557 3.399999996546 1.2695967074023e-08
3.399999996546 3.409999996535 1.2647828683046e-08
3.409999996535 3.419999996524 1.2599970969481e-08
3.419999996524 3.429999996513 1.2552393644113e-08
3.429999996513 3.439999996502 1.2505094066924e-08
3.439999996502 3.449999996491 1.2458069630805e-08
3.449999996491 3.459999996479 1.2411319311258e-08
3.459999996479 3.469999996468 1.2364841318215e-08
3.469999996468 3.479999996457 1.2318633111903e-08
3.479999996457 3.489999996446 1.2272692183892e-08
3.489999996446 3.499999996435 1.2227018343903e-08
3.499999996435 3.509999996424 1.2181608357470e-08
3.509999996424 3.519999996413 1.2136461301492e-08
3.519999996413 3.529999996401 1.2091575504917e-08
3.529999996401 3.539999996390 1.2046947813792e-08
3.539999996390 3.549999996379 1.2002577356795e-08
3.549999996379 3.559999996368 1.1958461779024e-08
3.559999996368 3.569999996357 1.1914600236298e-08
3.569999996357 3.579999996346 1.1870989674306e-08
3.579999996346 3.589999996335 1.1827629284032e-08
3.589999996335 3.599999996323 1.1784517528106e-08
3.599999996323 3.609999996312 1.1741651425968e-08
3.609999996312 3.619999996301 1.1699030214967e-08
3.619999996301 3.629999996290 1.1656652412280e-08
3.629999996290 3.639999996279 1.1614515108335e-08
3.639999996279 3.649999996268 1.1572617584708e-08
3.649999996268 3.659999996257 1.1530957695641e-08
3.659999996257 3.669999996245 1.1489534033074e-08
3.669999996245 3.679999996234 1.1448345202776e-08
3.679999996234 3.689999996223 1.1407388410516e-08
3.689999996223 3.699999996212 1.1366663713876e-08
3.699999996212 3.709999996201 1.1326167654841e-08
3.709999996201 3.719999996190 1.1285899615729e-08
3.719999996190 3.729999996179 1.1245858284781e-08
3.729999996179 3.739999996167 1.1206041669506e-08
3.739999996167 3.749999996156 1.1166447800445e-08
3.749999996156 3.759999996145 1.1127076107024e-08
3.759999996145 3.769999996134 1.1087923963734e-08
3.769999996134 3.779999996123 1.1048990143495e-08
3.779999996123 3.789999996112 1.1010273430742e-08
3.789999996112 3.799999996101 1.0971771943597e-08
3.799999996101 3.809999996089 1.0933484496799e-08
3.809999996089 3.819999996078 1.0895409243456e-08
3.819999996078 3.829999996067 1.0857544357620e-08
3.829999996067 3.839999996056 1.0819889369279e-08
3.839999996056 3.849999996045 1.0782442478601e-08
3.849999996045 3.859999996034 1.0745201243312e-08
3.859999996034 3.869999996023 1.0708165891931e-08
3.869999996023 3.879999996012 1.0671333354297e-08
3.879999996012 3.889999996000 1.0634703220794e-08
3.889999996000 3.899999995989 1.0598273775768e-08
3.899999995989 3.909999995978 1.0562043322643e-08
3.909999995978 3.919999995967 1.0526011480108e-08
3.919999995967 3.929999995956 1.0490175283093e-08
3.929999995956 3.939999995945 1.0454534377845e-08
3.939999995945 3.949999995934 1.0419087768826e-08
3.949999995934 3.959999995922 1.0383833191496e-08
3.959999995922 3.969999995911 1.0348769681483e-08
3.969999995911 3.979999995900 1.0313895648482e-08
3.979999995900 3.989999995889 1.0279210151553e-08
3.989999995889 3.999999995878 1.0244711628090e-08
3.999999995878 4.009999995867 1.0210399159941e-08
4.009999995867 4.019999995856 1.0176271211519e-08
4.019999995856 4.029999995844 1.0142326263841e-08
4.029999995844 4.039999995833 1.0108562814298e-08
4.039999995833 4.049999995822 1.0071876904431e-08
4.049999995822 4.059999995811 1.0035409283271e-08
4.059999995811 4.069999995800 1.0002241850083e-08
4.069999995800 4.079999995789 9.9692502756045e-09
4.079999995789 4.089999995778 9.9364337430232e-09
4.089999995778 4.099999995766 9.9037908343099e-09
4.099999995766 4.109999995755 9.8713207522261e-09
4.109999995755 4.119999995744 9.8390221023173e-09
4.119999995744 4.129999995733 9.8068941064100e-09
4.129999995733 4.139999995722 9.7749347936069e-09
4.139999995722 4.149999995711 9.7431440079101e-09
4.149999995711 4.159999995700 9.7115192096407e-09
4.159999995700 4.169999995688 9.6800608561289e-09
4.169999995688 4.179999995677 9.6487664377459e-09
4.179999995677 4.189999995666 9.6176358318725e-09
4.189999995666 4.199999995655 9.5866671516035e-09
4.199999995655 4.209999995644 9.5558597020017e-09
4.209999995644 4.219999995633 9.5252127934314e-09
4.219999995633 4.229999995622 9.4947245789191e-09
4.229999995622 4.239999995610 9.4643938117046e-09
4.239999995610 4.249999995599 9.4342204126134e-09
4.249999995599 4.259999995588 9.4042025732643e-09
4.259999995588 4.269999995577 9.3743396526387e-09
4.269999995577 4.279999995566 9.3446298712613e-09
4.279999995566 4.289999995555 9.3150731786426e-09
4.289999995555 4.299999995544 9.2856678178413e-09
4.299999995544 4.309999995532 9.2564131833378e-09
4.309999995532 4.319999995521 9.2273081099245e-09
4.319999995521 4.329999995510 9.1983514441593e-09
4.329999995510 4.339999995499 9.1695426045446e-09
4.339999995499 4.349999995488 9.1408798967263e-09
4.349999995488 4.359999995477 9.1123627583639e-09
4.359999995477 4.369999995466 9.0839900762093e-09
4.369999995466 4.379999995454 9.0557613011206e-09
4.379999995454 4.389999995443 9.0276753365391e-09
4.389999995443 4.399999995432 8.9997305473830e-09
4.399999995432 4.409999995421 8.9719269593797e-09
4.409999995421 4.419999995410 8.9442629570677e-09
4.419999995410 4.429999995399 8.9167374867114e-09
4.429999995399 4.439999995388 8.8893505896395e-09
4.439999995388 4.449999995376 8.8621001410962e-09
4.449999995376 4.459999995365 8.8349861959006e-09
4.459999995365 4.469999995354 8.8080071936725e-09
4.469999995354 4.479999995343 8.7811626617342e-09
4.479999995343 4.489999995332 8.7544515967126e-09
4.489999995332 4.499999995321 8.7278730049664e-09
4.499999995321 4.509999995310 8.7014259025355e-09
4.509999995310 4.519999995298 8.6751098436284e-09
4.519999995298 4.529999995287 8.6489233312217e-09
4.529999995287 4.539999995276 8.6228659349641e-09
4.539999995276 4.549999995265 8.5969372270588e-09
4.549999995265 4.559999995254 8.5711357382614e-09
4.559999995254 4.569999995243 8.5454605353129e-09
4.569999995243 4.579999995232 8.5199112126633e-09
4.579999995232 4.589999995220 8.4944868499557e-09
4.589999995220 4.599999995209 8.4691860200758e-09
4.599999995209 4.609999995198 8.4440093667171e-09
4.609999995198 4.619999995187 8.4189544489231e-09
4.619999995187 4.629999995176 8.3940214071022e-09
4.629999995176 4.639999995165 8.3692093590155e-09
4.639999995165 4.649999995154 8.3445174307376e-09
4.649999995154 4.659999995142 8.3199447565770e-09
4.659999995142 4.669999995131 8.2954904789486e-09
4.669999995131 4.679999995120 8.2711537483205e-09
4.679999995120 4.689999995109 8.2469347259687e-09
4.689999995109 4.699999995098 8.2228315691680e-09
4.699999995098 4.709999995087 8.1988439503750e-09
4.709999995087 4.719999995076 8.1749710467831e-09
4.719999995076 4.729999995065 8.1512120432306e-09
4.729999995065 4.739999995053 8.1275661320902e-09
4.739999995053 4.749999995042 8.1040334979842e-09
4.749999995042 4.759999995031 8.0806123574083e-09
4.759999995031 4.769999995020 8.0573019249079e-09
4.769999995020 4.779999995009 8.0341023981759e-09
4.779999995009 4.789999994998 8.0110125108340e-09
4.789999994998 4.799999994987 7.9880314944820e-09
4.799999994987 4.809999994975 7.9651590713843e-09
4.809999994975 4.819999994964 7.9423940005865e-09
4.819999994964 4.829999994953 7.9197360152855e-09
4.829999994953 4.839999994942 7.8971843704320e-09
4.839999994942 4.849999994931 7.8747383277049e-09
4.849999994931 4.859999994920 7.8523971554742e-09
4.859999994920 4.869999994909 7.8301601286886e-09
4.869999994909 4.879999994897 7.8080270025550e-09
4.879999994897 4.889999994886 7.7859965885045e-09
4.889999994886 4.899999994875 7.7640686518219e-09
4.899999994875 4.909999994864 7.7422420194502e-09
4.909999994864 4.919999994853 7.7205169347260e-09
4.919999994853 4.929999994842 7.6988917688404e-09
4.929999994842 4.939999994831 7.6773667720289e-09
4.939999994831 4.949999994819 7.6559407973057e-09
4.949999994819 4.959999994808 7.6346131719186e-09
4.959999994808 4.969999994797 7.6133836905499e-09
4.969999994797 4.979999994786 7.5922512281240e-09
4.979999994786 4.989999994775 7.5712160472491e-09
4.989999994775 4.999999994764 7.5502765756402e-09
4.999999994764 5.009999994753 7.5294326259091e-09
5.009999994753 5.019999994741 7.5086835561903e-09
5.019999994741 5.029999994730 7.4880291838367e-09
5.029999994730 5.039999994719 7.4674679695790e-09
5.039999994719 5.049999994708 7.4470001941666e-09
5.049999994708 5.059999994697 7.4266252339750e-09
5.059999994697 5.069999994686 7.4063420222601e-09
5.069999994686 5.079999994675 7.3861508444456e-09
5.079999994675 5.089999994663 7.3660497511772e-09
5.089999994663 5.099999994652 7.3460394818560e-09
5.099999994652 5.109999994641 7.3261189920581e-09
5.109999994641 5.119999994630 7.3062876897277e-09
5.119999994630 5.129999994619 7.2865454289284e-09
5.129999994619 5.139999994608 7.2668907444130e-09
5.139999994608 5.149999994597 7.2473239400432e-09
5.149999994597 5.159999994585 7.2278444401009e-09
5.159999994585 5.169999994574 7.2084512376110e-09
5.169999994574 5.179999994563 7.1891442051644e-09
5.179999994563 5.189999994552 7.1699227815732e-09
5.189999994552 5.199999994541 7.1507864103854e-09
5.199999994541 5.209999994530 7.1317345398603e-09
5.209999994530 5.219999994519 7.1127666228988e-09
5.219999994519 5.229999994507 7.0938821170064e-09
5.229999994507 5.239999994496 7.0750804842326e-09
5.239999994496 5.249999994485 7.0563616178243e-09
5.249999994485 5.259999994474 7.0377245598063e-09
5.259999994474 5.269999994463 7.0191692099944e-09
5.269999994463 5.279999994452 7.0006946215576e-09
5.279999994452 5.289999994441 6.9823007007173e-09
5.289999994441 5.299999994429 6.9639869325088e-09
5.299999994429 5.309999994418 6.9457528062243e-09
5.309999994418 5.319999994407 6.9275978153888e-09
5.319999994407 5.329999994396 6.9095210401627e-09
5.329999994396 5.339999994385 6.8915228185832e-09
5.339999994385 5.349999994374 6.8736022379304e-09
5.349999994374 5.359999994363 6.8557592223950e-09
5.359999994363 5.369999994351 6.8379924564947e-09
5.369999994351 5.379999994340 6.8203022855155e-09
5.379999994340 5.389999994329 6.8026882280958e-09
5.389999994329 5.399999994318 6.7851493969926e-09
5.399999994318 5.409999994307 6.7676857306352e-09
5.409999994307 5.419999994296 6.7502963516643e-09
5.419999994296 5.429999994285 6.7329816105419e-09
5.429999994285 5.439999994273 6.7157402309036e-09
5.439999994273 5.449999994262 6.6985721619817e-09
5.449999994262 5.459999994251 6.6814769490558e-09
5.459999994251 5.469999994240 6.6644541410734e-09
5.469999994240 5.479999994229 6.6475036918658e-09
5.479999994229 5.489999994218 6.6306243540046e-09
5.489999994218 5.499999994207 6.6138164887015e-09
5.499999994207 5.509999994196 6.5970792579265e-09
5.509999994196 5.519999994184 6.5804126255166e-09
5.519999994184 5.529999994173 6.5638157624753e-09
5.529999994173 5.539999994162 6.5472882424021e-09
5.539999994162 5.549999994151 6.5308300363360e-09
5.549999994151 5.559999994140 6.5144407215615e-09
5.559999994140 5.569999994129 6.4981198787219e-09
5.569999994129 5.579999994118 6.4818667007380e-09
5.579999994118 5.589999994106 6.4656815578818e-09
5.589999994106 5.599999994095 6.4495632595700e-09
5.599999994095 5.609999994084 6.4335117905104e-09
5.609999994084 5.619999994073 6.4175267475523e-09
5.619999994073 5.629999994062 6.4016077307203e-09
5.629999994062 5.639999994051 6.3857547282311e-09
