,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.354, 0.514, 0.625, 0.726, 0.769, 0.816, 0.809, 0.845, 0.859, 0.931, 0.947, 0.954, 0.966, 0.957, 0.964, 0.971]","[0.419, 0.611, 0.726, 0.8, 0.854, 0.873, 0.923, 0.939, 0.94, 0.979, 0.987, 0.995, 0.99, 0.991, 0.996, 0.994]","[0.502, 0.697, 0.843, 0.876, 0.919, 0.943, 0.968, 0.969, 0.975, 0.994, 0.997, 0.998, 0.999, 1.0, 0.999, 0.998]","[0.527, 0.73, 0.878, 0.891, 0.932, 0.959, 0.969, 0.982, 0.987, 0.996, 0.999, 1.0, 1.0, 0.999, 1.0, 1.0]","[0.533, 0.77, 0.867, 0.924, 0.956, 0.975, 0.981, 0.987, 0.996, 0.998, 1.0, 0.999, 1.0, 0.999, 1.0, 1.0]"
0.00025,"[0.333, 0.483, 0.596, 0.658, 0.703, 0.753, 0.758, 0.786, 0.822, 0.872, 0.906, 0.932, 0.891, 0.847, 0.801, 0.806]","[0.405, 0.589, 0.712, 0.788, 0.821, 0.839, 0.881, 0.889, 0.899, 0.955, 0.97, 0.977, 0.966, 0.973, 0.974, 0.953]","[0.48, 0.684, 0.804, 0.858, 0.89, 0.917, 0.949, 0.946, 0.961, 0.981, 0.986, 0.985, 0.99, 0.987, 0.993, 0.993]","[0.492, 0.722, 0.835, 0.9, 0.915, 0.955, 0.945, 0.961, 0.971, 0.99, 0.99, 0.993, 0.993, 0.996, 0.994, 0.993]","[0.468, 0.727, 0.84, 0.911, 0.947, 0.952, 0.958, 0.974, 0.98, 0.987, 0.992, 0.994, 0.994, 0.988, 0.996, 0.995]"
0.0007,"[0.324, 0.499, 0.454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.078, 0.104, 0.0, 0.0, 0.0, 0.023, 0.0]","[0.359, 0.552, 0.616, 0.555, 0.07, 0.0, 0.0, 0.0, 0.0, 0.109, 0.298, 0.005, 0.0, 0.0, 0.046, 0.047]","[0.47, 0.649, 0.752, 0.834, 0.809, 0.397, 0.0, 0.0, 0.0, 0.166, 0.409, 0.317, 0.0, 0.0, 0.089, 0.214]","[0.473, 0.664, 0.775, 0.863, 0.883, 0.883, 0.644, 0.096, 0.0, 0.229, 0.463, 0.629, 0.169, 0.0, 0.102, 0.319]","[0.46, 0.703, 0.787, 0.833, 0.883, 0.902, 0.928, 0.908, 0.863, 0.852, 0.853, 0.86, 0.818, 0.389, 0.461, 0.602]"
