,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.028, 0.039, 0.068, 0.072, 0.078, 0.082, 0.082, 0.093, 0.092, 0.097, 0.107, 0.101, 0.107, 0.102, 0.106, 0.115]","[0.199, 0.325, 0.434, 0.478, 0.482, 0.553, 0.592, 0.603, 0.627, 0.668, 0.689, 0.804, 0.824, 0.846, 0.832, 0.849]","[0.284, 0.474, 0.604, 0.689, 0.746, 0.825, 0.847, 0.855, 0.884, 0.896, 0.918, 0.974, 0.97, 0.985, 0.982, 0.987]","[0.395, 0.632, 0.796, 0.855, 0.894, 0.926, 0.942, 0.964, 0.966, 0.983, 0.979, 0.999, 0.995, 0.996, 0.996, 0.999]","[0.532, 0.753, 0.873, 0.923, 0.947, 0.969, 0.988, 0.989, 0.989, 0.996, 0.996, 0.999, 1.0, 1.0, 1.0, 0.999]"
0.00025,"[0.025, 0.049, 0.057, 0.062, 0.093, 0.074, 0.089, 0.076, 0.083, 0.065, 0.067, 0.089, 0.074, 0.056, 0.029, 0.043]","[0.191, 0.285, 0.345, 0.441, 0.481, 0.501, 0.511, 0.49, 0.531, 0.53, 0.575, 0.636, 0.703, 0.658, 0.621, 0.615]","[0.275, 0.457, 0.585, 0.659, 0.715, 0.761, 0.807, 0.817, 0.81, 0.8, 0.828, 0.924, 0.938, 0.935, 0.938, 0.915]","[0.395, 0.606, 0.754, 0.806, 0.854, 0.894, 0.913, 0.934, 0.942, 0.947, 0.941, 0.977, 0.988, 0.977, 0.978, 0.992]","[0.487, 0.739, 0.848, 0.905, 0.928, 0.947, 0.959, 0.975, 0.974, 0.98, 0.978, 0.993, 0.992, 0.997, 0.993, 0.993]"
0.0007,"[0.028, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.171, 0.081, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.0, 0.0, 0.01]","[0.279, 0.444, 0.028, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.052, 0.0, 0.0, 0.022]","[0.41, 0.572, 0.682, 0.017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007, 0.173, 0.0, 0.0, 0.04]","[0.473, 0.685, 0.784, 0.847, 0.285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012, 0.242, 0.166, 0.0, 0.07]"
