,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.345, 0.505, 0.658, 0.721, 0.766, 0.79, 0.834, 0.873, 0.902, 0.951, 0.953, 0.966, 0.959, 0.963, 0.967, 0.961]","[0.439, 0.584, 0.756, 0.81, 0.87, 0.886, 0.914, 0.916, 0.96, 0.989, 0.989, 0.995, 0.996, 0.995, 0.996, 0.994]","[0.48, 0.704, 0.816, 0.887, 0.928, 0.951, 0.958, 0.972, 0.985, 0.995, 0.998, 0.999, 0.997, 0.998, 0.999, 0.998]","[0.523, 0.752, 0.842, 0.914, 0.939, 0.972, 0.976, 0.976, 0.995, 0.998, 0.997, 1.0, 0.999, 1.0, 1.0, 0.999]","[0.493, 0.745, 0.855, 0.927, 0.949, 0.969, 0.977, 0.988, 0.996, 0.999, 1.0, 0.998, 0.999, 1.0, 1.0, 1.0]"
0.00025,"[0.317, 0.502, 0.616, 0.701, 0.732, 0.755, 0.754, 0.788, 0.848, 0.923, 0.914, 0.924, 0.913, 0.873, 0.87, 0.803]","[0.398, 0.589, 0.677, 0.758, 0.839, 0.843, 0.865, 0.881, 0.948, 0.968, 0.977, 0.983, 0.97, 0.98, 0.978, 0.951]","[0.475, 0.669, 0.807, 0.866, 0.893, 0.923, 0.941, 0.942, 0.968, 0.981, 0.984, 0.992, 0.991, 0.991, 0.995, 0.994]","[0.49, 0.719, 0.825, 0.892, 0.909, 0.934, 0.953, 0.961, 0.975, 0.99, 0.991, 0.994, 0.995, 0.992, 0.996, 0.997]","[0.491, 0.743, 0.855, 0.907, 0.925, 0.954, 0.952, 0.963, 0.98, 0.993, 0.996, 0.997, 0.989, 0.994, 0.99, 0.995]"
0.0007,"[0.322, 0.469, 0.458, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.076, 0.089, 0.004, 0.064, 0.0, 0.019, 0.0]","[0.373, 0.578, 0.681, 0.583, 0.064, 0.0, 0.0, 0.0, 0.347, 0.188, 0.315, 0.058, 0.128, 0.063, 0.073, 0.04]","[0.454, 0.662, 0.73, 0.817, 0.771, 0.377, 0.0, 0.0, 0.723, 0.48, 0.452, 0.437, 0.252, 0.312, 0.193, 0.225]","[0.491, 0.691, 0.789, 0.835, 0.877, 0.887, 0.618, 0.111, 0.847, 0.869, 0.583, 0.626, 0.438, 0.437, 0.43, 0.356]","[0.466, 0.715, 0.798, 0.846, 0.883, 0.891, 0.915, 0.904, 0.949, 0.968, 0.941, 0.893, 0.885, 0.735, 0.697, 0.576]"
