,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.352, 0.517, 0.636, 0.707, 0.824, 0.851, 0.886, 0.896, 0.896, 0.933, 0.947, 0.936, 0.962, 0.929, 0.96, 0.949]","[0.395, 0.606, 0.704, 0.799, 0.911, 0.937, 0.956, 0.967, 0.964, 0.974, 0.991, 0.987, 0.987, 0.988, 0.993, 0.984]","[0.5, 0.724, 0.824, 0.87, 0.953, 0.972, 0.982, 0.988, 0.987, 0.992, 0.997, 0.997, 0.997, 0.997, 0.998, 0.999]","[0.519, 0.718, 0.858, 0.906, 0.966, 0.987, 0.986, 0.993, 0.992, 0.994, 0.997, 0.999, 0.996, 0.999, 0.999, 0.999]","[0.482, 0.754, 0.85, 0.916, 0.966, 0.983, 0.985, 0.994, 0.996, 0.997, 0.999, 0.999, 1.0, 0.998, 0.998, 1.0]"
0.00025,"[0.319, 0.509, 0.59, 0.666, 0.782, 0.828, 0.857, 0.845, 0.865, 0.89, 0.89, 0.871, 0.85, 0.778, 0.654, 0.468]","[0.396, 0.579, 0.715, 0.774, 0.862, 0.916, 0.935, 0.936, 0.933, 0.964, 0.963, 0.961, 0.963, 0.965, 0.96, 0.85]","[0.512, 0.682, 0.81, 0.873, 0.945, 0.963, 0.975, 0.974, 0.978, 0.979, 0.984, 0.984, 0.988, 0.988, 0.984, 0.985]","[0.491, 0.715, 0.854, 0.895, 0.947, 0.958, 0.97, 0.981, 0.983, 0.988, 0.988, 0.989, 0.991, 0.99, 0.992, 0.99]","[0.469, 0.723, 0.837, 0.886, 0.959, 0.971, 0.984, 0.987, 0.983, 0.993, 0.987, 0.991, 0.995, 0.99, 0.992, 0.995]"
0.0007,"[0.324, 0.474, 0.425, 0.0, 0.014, 0.112, 0.266, 0.225, 0.0, 0.077, 0.089, 0.002, 0.095, 0.0, 0.025, 0.0]","[0.375, 0.575, 0.661, 0.569, 0.58, 0.574, 0.632, 0.618, 0.333, 0.385, 0.455, 0.228, 0.306, 0.128, 0.173, 0.057]","[0.467, 0.657, 0.743, 0.824, 0.893, 0.888, 0.862, 0.832, 0.756, 0.817, 0.809, 0.75, 0.754, 0.564, 0.674, 0.453]","[0.482, 0.701, 0.786, 0.835, 0.921, 0.934, 0.943, 0.923, 0.833, 0.918, 0.937, 0.896, 0.923, 0.819, 0.896, 0.796]","[0.479, 0.693, 0.78, 0.859, 0.918, 0.936, 0.943, 0.975, 0.959, 0.958, 0.943, 0.938, 0.965, 0.893, 0.965, 0.885]"
