,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.369, 0.53, 0.597, 0.723, 0.778, 0.804, 0.844, 0.816, 0.876, 0.911, 0.944, 0.94, 0.957, 0.956, 0.962, 0.96]","[0.411, 0.596, 0.729, 0.804, 0.836, 0.88, 0.908, 0.924, 0.931, 0.969, 0.982, 0.985, 0.987, 0.995, 0.99, 0.984]","[0.51, 0.731, 0.828, 0.897, 0.926, 0.957, 0.972, 0.97, 0.971, 0.986, 0.993, 0.999, 0.999, 0.998, 0.998, 0.998]","[0.545, 0.737, 0.876, 0.898, 0.959, 0.958, 0.975, 0.978, 0.986, 0.998, 0.993, 0.997, 0.999, 1.0, 1.0, 0.999]","[0.505, 0.739, 0.877, 0.917, 0.951, 0.962, 0.978, 0.983, 0.991, 0.996, 0.998, 0.998, 0.998, 1.0, 0.999, 0.999]"
0.00025,"[0.339, 0.491, 0.575, 0.669, 0.709, 0.72, 0.782, 0.773, 0.794, 0.89, 0.892, 0.887, 0.876, 0.83, 0.678, 0.664]","[0.389, 0.593, 0.699, 0.774, 0.831, 0.845, 0.855, 0.887, 0.896, 0.95, 0.968, 0.969, 0.966, 0.965, 0.948, 0.913]","[0.47, 0.722, 0.823, 0.869, 0.891, 0.921, 0.927, 0.938, 0.961, 0.966, 0.976, 0.984, 0.985, 0.99, 0.988, 0.988]","[0.5, 0.73, 0.817, 0.886, 0.92, 0.949, 0.952, 0.965, 0.969, 0.979, 0.989, 0.998, 0.998, 0.994, 0.992, 0.996]","[0.503, 0.738, 0.853, 0.895, 0.941, 0.94, 0.964, 0.964, 0.964, 0.991, 0.992, 0.995, 0.995, 0.998, 0.999, 0.996]"
0.0007,"[0.332, 0.443, 0.464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.059, 0.079, 0.0, 0.0, 0.0, 0.015, 0.0]","[0.403, 0.57, 0.668, 0.601, 0.064, 0.0, 0.0, 0.0, 0.0, 0.076, 0.193, 0.005, 0.0, 0.0, 0.033, 0.026]","[0.45, 0.666, 0.758, 0.813, 0.808, 0.343, 0.0, 0.0, 0.0, 0.094, 0.217, 0.207, 0.0, 0.0, 0.038, 0.124]","[0.469, 0.684, 0.787, 0.842, 0.886, 0.892, 0.649, 0.109, 0.0, 0.101, 0.253, 0.316, 0.091, 0.0, 0.049, 0.174]","[0.471, 0.674, 0.787, 0.869, 0.861, 0.892, 0.91, 0.921, 0.849, 0.655, 0.634, 0.637, 0.588, 0.376, 0.301, 0.318]"
