,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.044, 0.035, 0.085, 0.077, 0.085, 0.083, 0.091, 0.093, 0.098, 0.072, 0.129, 0.114, 0.108, 0.107, 0.105, 0.091]","[0.21, 0.313, 0.393, 0.483, 0.506, 0.571, 0.597, 0.612, 0.661, 0.664, 0.671, 0.704, 0.733, 0.711, 0.719, 0.705]","[0.288, 0.485, 0.574, 0.683, 0.751, 0.81, 0.824, 0.861, 0.886, 0.886, 0.924, 0.928, 0.94, 0.936, 0.957, 0.945]","[0.398, 0.64, 0.745, 0.862, 0.909, 0.927, 0.942, 0.956, 0.957, 0.973, 0.982, 0.984, 0.991, 0.994, 0.996, 0.995]","[0.51, 0.755, 0.869, 0.915, 0.95, 0.976, 0.976, 0.982, 0.994, 0.996, 0.993, 1.0, 0.999, 0.998, 0.999, 0.999]"
0.00025,"[0.033, 0.044, 0.05, 0.055, 0.066, 0.073, 0.066, 0.084, 0.06, 0.088, 0.076, 0.08, 0.0, 0.0, 0.0, 0.0]","[0.195, 0.284, 0.368, 0.401, 0.462, 0.519, 0.518, 0.544, 0.523, 0.547, 0.546, 0.578, 0.466, 0.199, 0.0, 0.0]","[0.281, 0.481, 0.562, 0.647, 0.743, 0.753, 0.763, 0.793, 0.829, 0.824, 0.87, 0.846, 0.834, 0.839, 0.738, 0.18]","[0.384, 0.626, 0.761, 0.836, 0.886, 0.886, 0.903, 0.919, 0.943, 0.957, 0.955, 0.957, 0.958, 0.959, 0.965, 0.936]","[0.502, 0.731, 0.859, 0.897, 0.94, 0.95, 0.959, 0.963, 0.966, 0.974, 0.982, 0.984, 0.98, 0.984, 0.988, 0.984]"
0.0007,"[0.029, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.175, 0.088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.269, 0.419, 0.024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.412, 0.555, 0.649, 0.017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.447, 0.687, 0.791, 0.83, 0.272, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
