,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.352, 0.484, 0.604, 0.719, 0.769, 0.796, 0.812, 0.853, 0.859, 0.881, 0.883, 0.934, 0.938, 0.945, 0.954, 0.953]","[0.413, 0.59, 0.733, 0.804, 0.836, 0.895, 0.893, 0.907, 0.944, 0.963, 0.952, 0.975, 0.988, 0.993, 0.992, 0.994]","[0.514, 0.734, 0.813, 0.885, 0.935, 0.937, 0.967, 0.973, 0.976, 0.987, 0.989, 0.995, 0.997, 0.997, 1.0, 0.997]","[0.513, 0.739, 0.834, 0.916, 0.937, 0.969, 0.981, 0.981, 0.984, 0.993, 0.991, 0.996, 0.998, 1.0, 1.0, 1.0]","[0.515, 0.759, 0.855, 0.921, 0.959, 0.971, 0.979, 0.985, 0.989, 0.995, 0.999, 0.999, 0.998, 1.0, 1.0, 1.0]"
0.00025,"[0.358, 0.509, 0.635, 0.687, 0.722, 0.713, 0.781, 0.777, 0.784, 0.823, 0.821, 0.879, 0.866, 0.844, 0.772, 0.711]","[0.403, 0.601, 0.683, 0.772, 0.833, 0.834, 0.869, 0.89, 0.894, 0.898, 0.91, 0.934, 0.945, 0.959, 0.942, 0.934]","[0.493, 0.694, 0.787, 0.866, 0.89, 0.921, 0.934, 0.948, 0.962, 0.957, 0.976, 0.97, 0.982, 0.985, 0.985, 0.99]","[0.503, 0.742, 0.838, 0.89, 0.937, 0.958, 0.958, 0.956, 0.971, 0.971, 0.981, 0.988, 0.994, 0.995, 0.99, 0.993]","[0.506, 0.742, 0.826, 0.885, 0.934, 0.931, 0.95, 0.962, 0.964, 0.979, 0.988, 0.98, 0.992, 0.994, 0.993, 0.996]"
0.0007,"[0.31, 0.467, 0.462, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.075, 0.0, 0.0, 0.0]","[0.385, 0.585, 0.66, 0.575, 0.064, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007, 0.085, 0.037, 0.0, 0.0]","[0.473, 0.635, 0.757, 0.833, 0.802, 0.366, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.109, 0.187, 0.018, 0.0]","[0.488, 0.692, 0.771, 0.839, 0.877, 0.882, 0.645, 0.111, 0.0, 0.0, 0.0, 0.013, 0.117, 0.212, 0.211, 0.0]","[0.468, 0.694, 0.787, 0.845, 0.895, 0.909, 0.905, 0.91, 0.875, 0.011, 0.0, 0.004, 0.133, 0.245, 0.286, 0.127]"
