,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.04, 0.045, 0.081, 0.072, 0.094, 0.087, 0.101, 0.085, 0.089, 0.09, 0.11, 0.114, 0.116, 0.106, 0.102, 0.101]","[0.2, 0.343, 0.43, 0.487, 0.602, 0.647, 0.675, 0.705, 0.693, 0.722, 0.778, 0.776, 0.764, 0.768, 0.778, 0.759]","[0.287, 0.483, 0.617, 0.683, 0.82, 0.878, 0.894, 0.908, 0.906, 0.952, 0.945, 0.959, 0.954, 0.971, 0.974, 0.956]","[0.409, 0.634, 0.788, 0.838, 0.92, 0.958, 0.965, 0.972, 0.977, 0.992, 0.992, 0.993, 0.995, 0.994, 0.994, 0.995]","[0.513, 0.76, 0.839, 0.925, 0.972, 0.984, 0.982, 0.987, 0.992, 0.997, 0.997, 1.0, 0.998, 1.0, 1.0, 0.999]"
0.00025,"[0.021, 0.034, 0.064, 0.056, 0.095, 0.057, 0.077, 0.091, 0.081, 0.079, 0.087, 0.1, 0.017, 0.013, 0.009, 0.009]","[0.206, 0.311, 0.366, 0.408, 0.536, 0.599, 0.585, 0.619, 0.577, 0.615, 0.635, 0.594, 0.545, 0.333, 0.303, 0.209]","[0.296, 0.461, 0.592, 0.671, 0.804, 0.838, 0.862, 0.88, 0.848, 0.897, 0.911, 0.909, 0.914, 0.884, 0.861, 0.577]","[0.421, 0.631, 0.749, 0.797, 0.905, 0.942, 0.953, 0.954, 0.951, 0.971, 0.971, 0.982, 0.975, 0.964, 0.981, 0.969]","[0.535, 0.713, 0.82, 0.905, 0.931, 0.965, 0.97, 0.984, 0.978, 0.981, 0.986, 0.99, 0.989, 0.989, 0.993, 0.992]"
0.0007,"[0.024, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.142, 0.089, 0.0, 0.0, 0.012, 0.053, 0.022, 0.0, 0.0, 0.029, 0.0, 0.0, 0.003, 0.0, 0.005, 0.0]","[0.262, 0.427, 0.021, 0.0, 0.016, 0.127, 0.222, 0.003, 0.0, 0.066, 0.001, 0.006, 0.055, 0.0, 0.031, 0.0]","[0.398, 0.611, 0.656, 0.013, 0.03, 0.201, 0.373, 0.345, 0.003, 0.107, 0.147, 0.004, 0.115, 0.0, 0.046, 0.0]","[0.512, 0.691, 0.813, 0.826, 0.868, 0.845, 0.859, 0.836, 0.622, 0.711, 0.684, 0.546, 0.571, 0.277, 0.393, 0.18]"
