,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.027, 0.04, 0.069, 0.069, 0.089, 0.087, 0.101, 0.093, 0.096, 0.113, 0.109, 0.102, 0.109, 0.1, 0.132, 0.105]","[0.214, 0.316, 0.401, 0.465, 0.611, 0.648, 0.65, 0.645, 0.701, 0.719, 0.739, 0.748, 0.746, 0.757, 0.76, 0.783]","[0.273, 0.462, 0.602, 0.7, 0.835, 0.867, 0.885, 0.882, 0.885, 0.924, 0.938, 0.957, 0.954, 0.963, 0.965, 0.971]","[0.426, 0.659, 0.783, 0.841, 0.915, 0.948, 0.962, 0.969, 0.978, 0.982, 0.989, 0.994, 0.986, 0.993, 0.995, 0.997]","[0.519, 0.745, 0.855, 0.907, 0.972, 0.978, 0.985, 0.99, 0.995, 0.994, 1.0, 0.999, 0.999, 0.998, 1.0, 0.999]"
0.00025,"[0.029, 0.047, 0.056, 0.061, 0.06, 0.067, 0.078, 0.074, 0.089, 0.084, 0.08, 0.089, 0.012, 0.01, 0.01, 0.007]","[0.194, 0.278, 0.363, 0.409, 0.536, 0.555, 0.636, 0.586, 0.6, 0.632, 0.597, 0.606, 0.541, 0.329, 0.171, 0.199]","[0.288, 0.479, 0.578, 0.634, 0.791, 0.835, 0.836, 0.849, 0.859, 0.882, 0.895, 0.877, 0.903, 0.88, 0.798, 0.547]","[0.386, 0.613, 0.757, 0.817, 0.888, 0.918, 0.94, 0.941, 0.945, 0.962, 0.965, 0.976, 0.987, 0.976, 0.969, 0.965]","[0.497, 0.71, 0.825, 0.906, 0.943, 0.974, 0.971, 0.98, 0.979, 0.979, 0.988, 0.988, 0.986, 0.988, 0.99, 0.989]"
0.0007,"[0.03, 0.0, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.178, 0.098, 0.0, 0.0, 0.01, 0.04, 0.013, 0.0, 0.0, 0.021, 0.0, 0.0, 0.001, 0.0, 0.004, 0.0]","[0.263, 0.409, 0.024, 0.0, 0.012, 0.08, 0.156, 0.004, 0.0, 0.055, 0.001, 0.003, 0.038, 0.0, 0.021, 0.0]","[0.403, 0.562, 0.646, 0.025, 0.014, 0.092, 0.224, 0.225, 0.001, 0.078, 0.111, 0.006, 0.09, 0.0, 0.023, 0.0]","[0.488, 0.674, 0.786, 0.869, 0.674, 0.64, 0.652, 0.639, 0.634, 0.487, 0.47, 0.349, 0.333, 0.253, 0.234, 0.184]"
