,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.337, 0.492, 0.634, 0.715, 0.747, 0.801, 0.827, 0.845, 0.843, 0.889, 0.902, 0.916, 0.956, 0.966, 0.975, 0.969]","[0.426, 0.613, 0.73, 0.788, 0.855, 0.877, 0.906, 0.933, 0.927, 0.949, 0.968, 0.972, 0.987, 0.993, 0.994, 0.993]","[0.513, 0.718, 0.823, 0.879, 0.925, 0.954, 0.965, 0.977, 0.977, 0.982, 0.986, 0.997, 1.0, 0.999, 0.999, 0.999]","[0.527, 0.73, 0.854, 0.927, 0.959, 0.957, 0.974, 0.987, 0.992, 0.992, 0.998, 0.996, 1.0, 0.999, 1.0, 1.0]","[0.529, 0.736, 0.863, 0.913, 0.957, 0.966, 0.978, 0.986, 0.992, 0.994, 0.996, 0.999, 0.999, 1.0, 1.0, 1.0]"
0.00025,"[0.33, 0.489, 0.603, 0.651, 0.732, 0.762, 0.767, 0.783, 0.844, 0.82, 0.836, 0.865, 0.882, 0.895, 0.873, 0.847]","[0.406, 0.595, 0.701, 0.764, 0.823, 0.861, 0.868, 0.875, 0.906, 0.897, 0.938, 0.947, 0.964, 0.976, 0.972, 0.964]","[0.486, 0.683, 0.78, 0.85, 0.924, 0.918, 0.925, 0.939, 0.946, 0.963, 0.976, 0.981, 0.98, 0.986, 0.992, 0.988]","[0.528, 0.72, 0.829, 0.896, 0.925, 0.934, 0.955, 0.966, 0.974, 0.982, 0.975, 0.986, 0.986, 0.992, 0.998, 0.994]","[0.496, 0.76, 0.84, 0.898, 0.92, 0.938, 0.962, 0.967, 0.982, 0.978, 0.983, 0.988, 0.992, 0.995, 0.997, 0.999]"
0.0007,"[0.302, 0.476, 0.431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.095, 0.0, 0.0, 0.0]","[0.357, 0.534, 0.658, 0.605, 0.06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006, 0.149, 0.074, 0.0, 0.0]","[0.469, 0.678, 0.764, 0.817, 0.813, 0.376, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017, 0.214, 0.309, 0.022, 0.0]","[0.499, 0.686, 0.818, 0.837, 0.871, 0.887, 0.639, 0.09, 0.0, 0.0, 0.0, 0.021, 0.261, 0.438, 0.368, 0.0]","[0.457, 0.695, 0.79, 0.848, 0.898, 0.9, 0.93, 0.903, 0.84, 0.014, 0.0, 0.033, 0.285, 0.474, 0.582, 0.18]"
