,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.036, 0.04, 0.06, 0.063, 0.075, 0.089, 0.097, 0.094, 0.1, 0.102, 0.099, 0.111, 0.106, 0.128, 0.107, 0.118]","[0.214, 0.334, 0.388, 0.47, 0.513, 0.539, 0.622, 0.62, 0.634, 0.671, 0.693, 0.716, 0.787, 0.802, 0.795, 0.814]","[0.262, 0.512, 0.613, 0.697, 0.76, 0.805, 0.827, 0.866, 0.886, 0.908, 0.922, 0.939, 0.966, 0.976, 0.972, 0.974]","[0.397, 0.658, 0.77, 0.828, 0.901, 0.931, 0.947, 0.962, 0.963, 0.983, 0.986, 0.994, 0.996, 0.994, 0.996, 0.994]","[0.499, 0.754, 0.846, 0.92, 0.942, 0.966, 0.969, 0.98, 0.982, 0.992, 0.991, 0.999, 1.0, 1.0, 0.999, 1.0]"
0.00025,"[0.024, 0.045, 0.059, 0.073, 0.069, 0.07, 0.092, 0.086, 0.083, 0.081, 0.076, 0.086, 0.039, 0.036, 0.042, 0.038]","[0.179, 0.309, 0.383, 0.452, 0.456, 0.5, 0.502, 0.522, 0.532, 0.538, 0.534, 0.558, 0.59, 0.498, 0.429, 0.422]","[0.277, 0.468, 0.594, 0.658, 0.709, 0.767, 0.769, 0.801, 0.805, 0.83, 0.851, 0.879, 0.898, 0.893, 0.863, 0.778]","[0.447, 0.622, 0.739, 0.809, 0.88, 0.887, 0.902, 0.929, 0.936, 0.944, 0.957, 0.966, 0.973, 0.979, 0.982, 0.979]","[0.492, 0.71, 0.833, 0.893, 0.94, 0.941, 0.96, 0.966, 0.975, 0.974, 0.987, 0.988, 0.991, 0.983, 0.993, 0.993]"
0.0007,"[0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.161, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.275, 0.423, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.044, 0.0, 0.0, 0.0]","[0.372, 0.584, 0.663, 0.019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.095, 0.0, 0.0, 0.0]","[0.476, 0.653, 0.797, 0.84, 0.274, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008, 0.127, 0.117, 0.0, 0.0]"
