,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.029, 0.044, 0.06, 0.061, 0.067, 0.089, 0.092, 0.096, 0.094, 0.121, 0.111, 0.093, 0.102, 0.115, 0.096, 0.116]","[0.197, 0.299, 0.408, 0.471, 0.529, 0.549, 0.595, 0.627, 0.625, 0.764, 0.789, 0.824, 0.801, 0.782, 0.832, 0.807]","[0.313, 0.461, 0.609, 0.713, 0.757, 0.781, 0.823, 0.875, 0.872, 0.938, 0.96, 0.975, 0.978, 0.966, 0.982, 0.984]","[0.41, 0.635, 0.769, 0.846, 0.904, 0.917, 0.949, 0.957, 0.971, 0.978, 0.994, 0.993, 0.991, 0.998, 0.998, 0.995]","[0.503, 0.741, 0.864, 0.924, 0.941, 0.968, 0.977, 0.983, 0.995, 0.996, 0.995, 1.0, 0.999, 1.0, 0.999, 1.0]"
0.00025,"[0.024, 0.055, 0.059, 0.071, 0.063, 0.09, 0.067, 0.086, 0.078, 0.075, 0.074, 0.091, 0.038, 0.037, 0.044, 0.029]","[0.182, 0.31, 0.358, 0.408, 0.457, 0.48, 0.513, 0.522, 0.55, 0.684, 0.673, 0.704, 0.644, 0.492, 0.51, 0.486]","[0.312, 0.492, 0.572, 0.683, 0.706, 0.751, 0.763, 0.786, 0.813, 0.902, 0.91, 0.926, 0.933, 0.903, 0.909, 0.834]","[0.391, 0.604, 0.748, 0.819, 0.874, 0.899, 0.925, 0.941, 0.929, 0.974, 0.971, 0.983, 0.985, 0.973, 0.985, 0.983]","[0.508, 0.717, 0.833, 0.883, 0.926, 0.96, 0.957, 0.96, 0.969, 0.984, 0.989, 0.993, 0.992, 0.991, 0.991, 0.994]"
0.0007,"[0.022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.184, 0.099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.0, 0.0, 0.0, 0.0, 0.009, 0.0]","[0.254, 0.396, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058, 0.0, 0.0, 0.0, 0.0, 0.032, 0.0]","[0.397, 0.569, 0.631, 0.027, 0.0, 0.0, 0.0, 0.0, 0.0, 0.119, 0.153, 0.0, 0.0, 0.0, 0.063, 0.0]","[0.493, 0.675, 0.777, 0.827, 0.293, 0.0, 0.0, 0.0, 0.0, 0.184, 0.432, 0.016, 0.0, 0.0, 0.073, 0.081]"
