,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.344, 0.529, 0.665, 0.698, 0.759, 0.793, 0.824, 0.856, 0.855, 0.888, 0.894, 0.953, 0.958, 0.973, 0.969, 0.978]","[0.37, 0.607, 0.714, 0.795, 0.849, 0.885, 0.891, 0.92, 0.94, 0.941, 0.956, 0.987, 0.999, 0.991, 0.996, 0.999]","[0.49, 0.709, 0.831, 0.888, 0.926, 0.941, 0.958, 0.97, 0.987, 0.98, 0.988, 0.998, 0.998, 0.998, 1.0, 0.999]","[0.502, 0.747, 0.844, 0.909, 0.943, 0.955, 0.968, 0.977, 0.99, 0.994, 0.993, 0.999, 0.998, 1.0, 1.0, 1.0]","[0.524, 0.765, 0.867, 0.923, 0.958, 0.954, 0.978, 0.989, 0.994, 0.992, 0.996, 1.0, 1.0, 1.0, 0.999, 1.0]"
0.00025,"[0.341, 0.493, 0.642, 0.673, 0.725, 0.759, 0.783, 0.8, 0.791, 0.812, 0.806, 0.903, 0.912, 0.93, 0.877, 0.881]","[0.405, 0.629, 0.696, 0.775, 0.829, 0.853, 0.867, 0.883, 0.875, 0.916, 0.926, 0.968, 0.981, 0.978, 0.979, 0.98]","[0.492, 0.702, 0.81, 0.854, 0.9, 0.931, 0.938, 0.956, 0.946, 0.971, 0.957, 0.986, 0.991, 0.993, 0.99, 0.99]","[0.52, 0.724, 0.82, 0.899, 0.92, 0.95, 0.948, 0.954, 0.964, 0.979, 0.976, 0.993, 0.995, 0.998, 0.999, 0.996]","[0.513, 0.74, 0.851, 0.913, 0.938, 0.958, 0.966, 0.961, 0.98, 0.97, 0.984, 0.992, 0.993, 0.994, 0.995, 0.997]"
0.0007,"[0.313, 0.454, 0.441, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.093, 0.0, 0.0, 0.025]","[0.378, 0.544, 0.654, 0.592, 0.069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.147, 0.087, 0.0, 0.036]","[0.451, 0.657, 0.788, 0.822, 0.8, 0.364, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022, 0.226, 0.303, 0.019, 0.067]","[0.48, 0.699, 0.787, 0.88, 0.887, 0.892, 0.665, 0.096, 0.0, 0.0, 0.0, 0.287, 0.352, 0.465, 0.361, 0.124]","[0.461, 0.714, 0.791, 0.841, 0.873, 0.892, 0.916, 0.915, 0.838, 0.008, 0.0, 0.885, 0.627, 0.569, 0.584, 0.416]"
