,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.331, 0.512, 0.616, 0.714, 0.837, 0.856, 0.872, 0.887, 0.912, 0.915, 0.934, 0.939, 0.944, 0.939, 0.943, 0.941]","[0.41, 0.584, 0.722, 0.82, 0.886, 0.938, 0.936, 0.954, 0.965, 0.977, 0.986, 0.99, 0.988, 0.99, 0.989, 0.986]","[0.517, 0.731, 0.84, 0.883, 0.937, 0.968, 0.964, 0.987, 0.988, 0.993, 0.99, 0.998, 0.996, 0.998, 0.999, 0.998]","[0.494, 0.744, 0.853, 0.914, 0.96, 0.97, 0.996, 0.988, 0.994, 0.996, 0.999, 1.0, 0.996, 0.999, 0.999, 0.998]","[0.516, 0.766, 0.859, 0.915, 0.967, 0.979, 0.986, 0.99, 0.995, 1.0, 0.997, 0.999, 0.999, 0.999, 1.0, 0.999]"
0.00025,"[0.334, 0.495, 0.606, 0.682, 0.779, 0.827, 0.819, 0.852, 0.858, 0.861, 0.89, 0.866, 0.82, 0.766, 0.504, 0.496]","[0.414, 0.58, 0.682, 0.769, 0.864, 0.907, 0.924, 0.924, 0.934, 0.94, 0.947, 0.96, 0.969, 0.956, 0.93, 0.848]","[0.522, 0.708, 0.813, 0.875, 0.94, 0.953, 0.947, 0.969, 0.97, 0.98, 0.98, 0.98, 0.98, 0.982, 0.985, 0.987]","[0.519, 0.774, 0.836, 0.88, 0.945, 0.968, 0.974, 0.981, 0.985, 0.984, 0.982, 0.991, 0.987, 0.991, 0.989, 0.988]","[0.502, 0.708, 0.856, 0.891, 0.957, 0.955, 0.972, 0.981, 0.99, 0.983, 0.987, 0.991, 0.991, 0.988, 0.992, 0.993]"
0.0007,"[0.306, 0.458, 0.46, 0.0, 0.018, 0.087, 0.193, 0.14, 0.0, 0.052, 0.059, 0.004, 0.048, 0.0, 0.019, 0.0]","[0.373, 0.571, 0.655, 0.587, 0.39, 0.343, 0.414, 0.454, 0.331, 0.259, 0.297, 0.146, 0.178, 0.126, 0.104, 0.069]","[0.461, 0.679, 0.763, 0.812, 0.876, 0.736, 0.701, 0.755, 0.727, 0.621, 0.651, 0.579, 0.577, 0.58, 0.481, 0.439]","[0.486, 0.676, 0.797, 0.853, 0.916, 0.931, 0.891, 0.854, 0.862, 0.803, 0.841, 0.795, 0.781, 0.807, 0.771, 0.773]","[0.465, 0.685, 0.807, 0.847, 0.899, 0.937, 0.954, 0.964, 0.944, 0.841, 0.904, 0.855, 0.898, 0.907, 0.884, 0.887]"
