,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.024, 0.062, 0.067, 0.078, 0.068, 0.112, 0.084, 0.086, 0.106, 0.111, 0.092, 0.119, 0.108, 0.108, 0.123, 0.099]","[0.194, 0.287, 0.417, 0.461, 0.509, 0.563, 0.576, 0.613, 0.682, 0.791, 0.785, 0.818, 0.836, 0.799, 0.815, 0.828]","[0.288, 0.481, 0.617, 0.692, 0.741, 0.791, 0.824, 0.844, 0.92, 0.961, 0.964, 0.978, 0.982, 0.972, 0.981, 0.984]","[0.393, 0.636, 0.769, 0.852, 0.91, 0.927, 0.942, 0.958, 0.978, 0.992, 0.992, 0.994, 0.997, 0.997, 0.995, 0.996]","[0.51, 0.741, 0.874, 0.916, 0.949, 0.967, 0.976, 0.979, 0.989, 0.998, 0.998, 0.999, 1.0, 0.999, 1.0, 0.998]"
0.00025,"[0.037, 0.044, 0.048, 0.067, 0.065, 0.06, 0.078, 0.078, 0.074, 0.086, 0.099, 0.106, 0.055, 0.035, 0.044, 0.039]","[0.206, 0.297, 0.392, 0.427, 0.441, 0.475, 0.516, 0.504, 0.616, 0.701, 0.68, 0.713, 0.68, 0.586, 0.548, 0.469]","[0.315, 0.461, 0.559, 0.668, 0.728, 0.742, 0.787, 0.813, 0.849, 0.917, 0.92, 0.931, 0.924, 0.919, 0.911, 0.844]","[0.395, 0.63, 0.733, 0.828, 0.866, 0.904, 0.895, 0.926, 0.945, 0.965, 0.968, 0.978, 0.978, 0.982, 0.984, 0.986]","[0.481, 0.742, 0.85, 0.88, 0.918, 0.94, 0.958, 0.976, 0.986, 0.992, 0.992, 0.997, 0.999, 0.991, 0.99, 0.988]"
0.0007,"[0.027, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.165, 0.088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.0, 0.001, 0.001, 0.0, 0.007, 0.0]","[0.263, 0.426, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.064, 0.001, 0.002, 0.038, 0.0, 0.026, 0.0]","[0.369, 0.591, 0.668, 0.018, 0.0, 0.0, 0.0, 0.0, 0.002, 0.104, 0.153, 0.003, 0.08, 0.001, 0.048, 0.0]","[0.504, 0.688, 0.78, 0.851, 0.268, 0.0, 0.0, 0.0, 0.662, 0.32, 0.459, 0.108, 0.183, 0.171, 0.118, 0.091]"
