,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.033, 0.043, 0.067, 0.07, 0.096, 0.086, 0.079, 0.095, 0.096, 0.121, 0.098, 0.092, 0.113, 0.098, 0.11, 0.092]","[0.212, 0.324, 0.39, 0.456, 0.526, 0.566, 0.576, 0.642, 0.656, 0.726, 0.759, 0.764, 0.792, 0.795, 0.784, 0.787]","[0.293, 0.474, 0.578, 0.704, 0.759, 0.784, 0.856, 0.862, 0.881, 0.928, 0.965, 0.957, 0.963, 0.976, 0.968, 0.973]","[0.412, 0.651, 0.773, 0.846, 0.899, 0.92, 0.932, 0.965, 0.974, 0.984, 0.991, 0.994, 0.994, 0.994, 0.997, 0.999]","[0.494, 0.744, 0.85, 0.93, 0.953, 0.962, 0.982, 0.981, 0.991, 0.995, 0.998, 1.0, 1.0, 1.0, 1.0, 0.999]"
0.00025,"[0.034, 0.045, 0.048, 0.071, 0.08, 0.077, 0.083, 0.089, 0.077, 0.097, 0.075, 0.067, 0.044, 0.033, 0.014, 0.026]","[0.171, 0.339, 0.363, 0.415, 0.463, 0.49, 0.484, 0.523, 0.532, 0.611, 0.641, 0.622, 0.592, 0.479, 0.352, 0.344]","[0.31, 0.457, 0.593, 0.665, 0.726, 0.726, 0.78, 0.789, 0.81, 0.87, 0.891, 0.911, 0.905, 0.887, 0.87, 0.713]","[0.411, 0.629, 0.744, 0.802, 0.872, 0.894, 0.912, 0.923, 0.933, 0.964, 0.969, 0.976, 0.976, 0.971, 0.985, 0.973]","[0.496, 0.739, 0.819, 0.889, 0.921, 0.945, 0.956, 0.97, 0.972, 0.987, 0.985, 0.988, 0.99, 0.991, 0.994, 0.99]"
0.0007,"[0.035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.16, 0.091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024, 0.0, 0.0, 0.0, 0.0, 0.008, 0.0]","[0.262, 0.427, 0.022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.041, 0.001, 0.0, 0.0, 0.0, 0.023, 0.0]","[0.371, 0.599, 0.679, 0.016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.089, 0.107, 0.0, 0.0, 0.0, 0.032, 0.0]","[0.474, 0.689, 0.776, 0.838, 0.279, 0.0, 0.0, 0.0, 0.0, 0.077, 0.219, 0.016, 0.0, 0.0, 0.035, 0.058]"
