,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.34, 0.554, 0.652, 0.732, 0.74, 0.809, 0.842, 0.845, 0.857, 0.884, 0.905, 0.905, 0.9, 0.933, 0.898, 0.92]","[0.389, 0.622, 0.746, 0.787, 0.85, 0.875, 0.914, 0.928, 0.927, 0.945, 0.956, 0.973, 0.969, 0.974, 0.977, 0.984]","[0.51, 0.701, 0.844, 0.897, 0.925, 0.958, 0.962, 0.974, 0.981, 0.984, 0.991, 0.994, 0.994, 0.994, 0.99, 0.999]","[0.526, 0.743, 0.857, 0.92, 0.955, 0.969, 0.975, 0.969, 0.988, 0.997, 0.992, 0.999, 0.996, 0.999, 0.998, 0.999]","[0.501, 0.727, 0.856, 0.942, 0.956, 0.972, 0.984, 0.982, 0.991, 0.997, 0.995, 0.999, 0.999, 0.998, 1.0, 0.998]"
0.00025,"[0.373, 0.489, 0.583, 0.677, 0.704, 0.761, 0.783, 0.788, 0.801, 0.804, 0.82, 0.838, 0.727, 0.657, 0.136, 0.0]","[0.419, 0.622, 0.705, 0.782, 0.82, 0.838, 0.875, 0.882, 0.893, 0.903, 0.911, 0.934, 0.933, 0.924, 0.854, 0.548]","[0.469, 0.67, 0.806, 0.862, 0.913, 0.925, 0.957, 0.947, 0.958, 0.956, 0.969, 0.983, 0.978, 0.977, 0.977, 0.973]","[0.496, 0.721, 0.833, 0.903, 0.933, 0.943, 0.96, 0.965, 0.966, 0.978, 0.974, 0.978, 0.979, 0.982, 0.989, 0.982]","[0.505, 0.733, 0.831, 0.904, 0.924, 0.954, 0.958, 0.976, 0.972, 0.974, 0.976, 0.977, 0.978, 0.989, 0.986, 0.991]"
0.0007,"[0.33, 0.51, 0.451, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.381, 0.577, 0.663, 0.589, 0.077, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.484, 0.669, 0.764, 0.816, 0.805, 0.384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.448, 0.673, 0.79, 0.847, 0.872, 0.914, 0.662, 0.098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.486, 0.691, 0.832, 0.848, 0.874, 0.901, 0.91, 0.907, 0.849, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
