,1e-13,1.2589254117941663e-13,1.584893192461111e-13,1.9952623149688747e-13,2.511886431509572e-13
5.6e-05,"[0.022, 0.056, 0.072, 0.075, 0.078, 0.089, 0.089, 0.084, 0.107, 0.093, 0.119, 0.116, 0.113, 0.125, 0.112, 0.11]","[0.185, 0.335, 0.414, 0.494, 0.518, 0.539, 0.615, 0.593, 0.644, 0.658, 0.681, 0.75, 0.806, 0.827, 0.829, 0.851]","[0.299, 0.49, 0.621, 0.689, 0.784, 0.788, 0.834, 0.864, 0.881, 0.914, 0.916, 0.953, 0.963, 0.981, 0.977, 0.987]","[0.405, 0.658, 0.766, 0.854, 0.877, 0.926, 0.954, 0.957, 0.965, 0.99, 0.979, 0.992, 0.996, 0.996, 0.998, 0.999]","[0.531, 0.758, 0.881, 0.918, 0.952, 0.966, 0.982, 0.989, 0.991, 0.995, 0.995, 0.998, 1.0, 0.998, 1.0, 1.0]"
0.00025,"[0.037, 0.041, 0.057, 0.062, 0.062, 0.079, 0.081, 0.079, 0.073, 0.084, 0.095, 0.11, 0.083, 0.071, 0.059, 0.051]","[0.194, 0.296, 0.386, 0.438, 0.489, 0.485, 0.495, 0.533, 0.494, 0.551, 0.568, 0.611, 0.656, 0.616, 0.588, 0.552]","[0.304, 0.473, 0.592, 0.675, 0.732, 0.749, 0.781, 0.791, 0.812, 0.824, 0.84, 0.882, 0.902, 0.914, 0.915, 0.859]","[0.402, 0.62, 0.748, 0.826, 0.874, 0.901, 0.909, 0.933, 0.95, 0.947, 0.969, 0.973, 0.977, 0.976, 0.984, 0.983]","[0.517, 0.718, 0.844, 0.888, 0.927, 0.955, 0.95, 0.954, 0.968, 0.975, 0.978, 0.99, 0.988, 0.995, 0.994, 0.99]"
0.0007,"[0.023, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.179, 0.087, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.0, 0.0, 0.0]","[0.27, 0.443, 0.028, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.053, 0.0, 0.0, 0.0]","[0.371, 0.574, 0.649, 0.018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006, 0.158, 0.0, 0.0, 0.0]","[0.505, 0.685, 0.795, 0.816, 0.285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013, 0.231, 0.171, 0.0, 0.0]"
