,Id,Previous Detection,ObsId,Exp. (ks),Date,T_90,RA (deg),Dec (deg),Off. Ang.,Pos. Unc.,S/N
45,XRTC 090301,,9923,14.7,2009-03-01,7.8 +3.6 -1.0,193.92558,38.35555,4.5,0.68,5.8
46,XRTC 081224,,10234,31.7,2008-12-24,25.8 +2.5 -2.5,59.83881,10.47411,7.1,0.93,10.4
47,XRTC 090114,,10475,10.0,2009-01-14,6.1 +2.4 -1.1,136.66484,2.95959,5.5,0.76,10.1
48,XRTC 100914,,11737,52.3,2010-09-14,31.1 +26.1 -0.4,337.78288,39.37290,1.6,0.24,8.0
49,XRTC 100311,,11755,55.8,2010-03-11,50.4 +3.8 -5.4,157.34828,26.34365,4.0,0.29,25.1
50,XRTC 100125,,11756,56.7,2010-01-24 - 2010-01-25,50.8 +4.9 -2.0,159.68452,48.87230,2.1,0.14,34.1
51,XRTC 100101,,11777,29.2,2010-01-01,24.0 +2.3 -1.0,138.08401,35.05535,1.9,0.13,44.4
52,XRT 100831,Paper I,12264,40.0,2010-08-31,8.6 +4.8 -0.9,90.00443,-52.71504,4.7,0.55,12.1
53,XRTC 111009,,12273,9.9,2011-10-08 - 2011-10-09,7.2 +1.5 -1.6,87.16240,-25.56932,5.6,0.75,9.9
54,XRTC 111003,,12315,39.2,2011-10-02 - 2011-10-03,28.3 +3.1 -2.0,36.43187,12.87232,1.4,0.11,49.1
55,XRTC 110503,,12318,79.0,2011-05-02 - 2011-05-03,69.2 +3.9 -7.1,191.76702,-2.11810,0.9,0.09,61.8
56,XRT 110103,Paper I,12884,84.5,2011-01-03 - 2011-01-04,60.9 +8.9 -10.3,212.12047,-27.05800,13.0,0.81,33.7
57,XRT 110919,Paper I,13454,91.8,2011-09-19 - 2011-09-20,64.1 +29.3 -12.0,15.93569,-21.81271,7.4,0.65,16.7
58,XRTC 120818,,13505,59.0,2012-08-17 - 2012-08-18,52.4 +6.8 -4.7,345.34665,-40.39491,8.0,0.98,16.1
59,XRT 130822,Paper I,14904,29.7,2013-08-22,14.4 +4.0 -3.4,345.49250,15.94870,1.6,0.17,13.4
60,XRT 140327,Paper I,15113,33.6,2014-03-27,15.4 +5.6 -0.7,45.26836,-77.88092,6.6,1.30,7.6
61,XRTC 130629,,15136,32.6,2013-06-28 - 2013-06-29,28.8 +2.7 -1.3,175.48054,58.38391,7.5,1.04,19.8
62,XRTC 131108,,16120,94.7,2013-11-06 - 2013-11-08,86.2 +4.7 -4.8,61.32279,38.14231,5.2,0.19,62.1
63,XRT 141001/CDF-S XT1,Paper I,16454,47.1,2014-10-01,5.0 +3.0 -10.0,53.16163,-27.85949,3.7,0.17,47.1
