,Id,Search,ObsId,Exp. (ks),Date,T_90,RA (deg),Dec (deg),Off. Ang.,Pos. Unc.,S/N
41,XRT 150322/CDF-S XT2,w20 2015-01-01/2022-04-01,16453,70.3,2015-03-21/2015-03-22,10.5 +5.8 -7.7,53.07676,-27.87361,4.3,0.24,45.7
42,XRT 141001/CDF-S XT1,w20 .../2015-01-01,16454,47.1,2014-10-01,5.0 +3.0 -10.0,53.16163,-27.85949,3.7,0.17,47.1
43,XRTC 161209,w20 2015-01-01/2022-04-01,17615,26.3,2016-12-08/2016-12-09,19.2 +7.3 -3.6,207.61486,26.74966,4.7,0.82,10.6
44,XRTC 161209,w20 2015-01-01/2022-04-01,17615,26.3,2016-12-08/2016-12-09,24.0 +7.6 -1.7,207.62469,26.69989,2.0,0.29,6.5
45,XRT 151121,w20 2015-01-01/2022-04-01,18715,21.8,2015-11-20/2015-11-21,17.9 +0.6 -12.3,40.82961,32.32377,8.6,1.83,9.0
46,XRTC 171213,w20 2015-01-01/2022-04-01,18927,37.4,2017-12-13,6.1 +2.5 -2.3,83.87398,-4.99735,0.2,0.26,11.9
47,XRT 170901,w20 2015-01-01/2022-04-01,20635,74.2,2017-08-31/2017-09-01,4.2 +0.8 -0.9,356.26459,-42.64493,3.1,0.14,61.8
48,XRT 191127,w20 2015-01-01/2022-04-01,21831,19.8,2019-11-26/2019-11-27,0.5 +12.1 -0.2,207.34719,26.58445,5.9,0.85,11.7
49,XRTC 200413,w20 2015-01-01/2022-04-01,22558,19.8,2020-04-12/2020-04-13,7.4 +6.9 -0.8,289.58998,49.60696,4.2,0.30,43.5
50,XRT 191223,w20 2015-01-01/2022-04-01,23103,16.4,2019-12-23,3.7 +1.8 -0.6,50.47529,41.24683,3.5,0.46,10.7
51,XRTC 210515,w20 2022-04-01/...,23488,29.6,2021-05-15,25.0 +10.3 -3.3,187.66173,41.63609,2.5,0.18,28.1
52,XRTC 231009,w20 2022-04-01/...,28964,12.4,2023-10-09,2.0 +0.7 -0.2,244.71650,-1.99187,6.1,0.72,5.7
