,Id,Previous Detection,ObsId,Exp. (ks),Date,T_90,RA (deg),Dec (deg),Off. Ang.,Pos. Unc.,S/N
1,XRTC 001204,,1882,96.8,2000-12-02 - 2000-12-04,70.0 +11.1 -7.4,91.94792,-6.39343,1.0,0.18,15.1
2,XRTC 030120,,4396,164.6,2003-01-18 - 2003-01-20,45.2 +20.4 -44.4,83.84385,-5.33084,4.1,0.15,44.9
3,XRTC 060530,,6792,97.3,2006-05-29 - 2006-05-30,90.5 +17.9 -4.1,221.89159,9.33420,6.0,0.85,9.7
4,XRTC 100819,,12301,78.0,2010-08-18 - 2010-08-19,58.7 +8.6 -3.0,148.88870,68.96563,3.2,0.42,7.1
5,XRTC 110501,,12317,78.5,2011-04-30 - 2011-05-01,76.6 +4.9 -3.5,191.86629,-2.15688,0.6,0.12,33.2
