,Id,Previous Detection,ObsId,Exp. (ks),Date,T_90,RA (deg),Dec (deg),Off. Ang.,Pos. Unc.,S/N
1,XRTC 210515,,23488,29.6,2021-05-15,25.0 +10.3 -3.3,187.66173,41.63609,2.5,0.18,28.1
2,XRTC 231009,,28964,12.4,2023-10-09,2.0 +0.7 -0.2,244.71650,-1.99187,6.1,0.72,5.7
